,cluster 4ER+ log adjusted q-value,cluster 9 log adjusted q-value,cluster 7 log adjusted q-value,cluster 3 log adjusted q-value,cluster 8 log adjusted q-value,cluster 10 log adjusted q-value,cluster 1 log adjusted q-value,cluster 2 log adjusted q-value,cluster 5 log adjusted q-value,cluster 4ER- log adjusted q-value,cluster 6 log adjusted q-value
Recognition and association of DNA glycosylase with site containing an affected pyrimidine,0.36978221650325277,0.01324626350214555,0.0063186804752324586,0.08708846460859021,0.027513519140315607,0.0871693374312818,14.795840716420901,0.3542115809162533,0.06833653150247711,0.2191307144564201,0.02016188346434391
Cleavage of the damaged pyrimidine ,0.36978221650325277,0.01324626350214555,0.0063186804752324586,0.08708846460859021,0.027513519140315607,0.0871693374312818,14.795840716420901,0.3542115809162533,0.06833653150247711,0.2191307144564201,0.02016188346434391
Depyrimidination,0.36978221650325277,0.01324626350214555,0.0063186804752324586,0.08708846460859021,0.027513519140315607,0.0871693374312818,14.795840716420901,0.3542115809162533,0.06833653150247711,0.2191307144564201,0.02016188346434391
"Base-Excision Repair, AP Site Formation",0.3656844093755072,0.014729546064335736,0.0060367316242001595,0.0904187839410088,0.02638485391382497,0.0821674737426198,14.772381821340698,0.352849811058877,0.06817845999200371,0.21993131505423505,0.02016188346434391
Meiotic synapsis,0.3736743252232876,0.007112449716908842,0.017622319314628904,0.1137220806222462,0.029190155680109416,0.08471872307806784,14.735148828532704,0.3354988344839212,0.07390058876806478,0.2356542483820314,0.02016188346434391
B-WICH complex positively regulates rRNA expression,0.5004344093923724,0.006101055595481745,0.03102445258795774,0.01464487848391491,0.10442656809161031,0.17107377454766012,14.712961137034855,0.27848504634517635,0.16861083452998016,0.151345242861097,0.017856601285202563
HCMV Infection,0.4267385552010368,0.015894403522113992,0.21541461813086335,0.015299220139496321,0.10785718707582663,0.11457024791502544,14.5983369894843,0.1850318644684236,0.030516063692681818,0.138546335057193,0.017856601285202563
Depurination,0.32183862766001414,0.028765764094068193,0.02119462778943108,0.1137220806222462,0.029342464197359815,0.0891052762175694,14.5983369894843,0.36417973836805567,0.07187623780387534,0.20905985349324643,0.02016188346434391
Recognition and association of DNA glycosylase with site containing an affected purine,0.32183862766001414,0.028765764094068193,0.02119462778943108,0.1137220806222462,0.029342464197359815,0.0891052762175694,14.5983369894843,0.36417973836805567,0.07187623780387534,0.20905985349324643,0.02016188346434391
Cleavage of the damaged purine,0.32183862766001414,0.028765764094068193,0.02119462778943108,0.1137220806222462,0.029342464197359815,0.0891052762175694,14.5983369894843,0.36417973836805567,0.07187623780387534,0.20905985349324643,0.02016188346434391
Mitotic Prophase,1.5031958513352006,0.10712700013531351,0.6042274531511868,0.24247053397400978,0.05799252679579408,0.09628025545546251,14.5983369894843,0.07628415440932076,0.037907405875731,0.1717605336853577,0.017856601285202563
Packaging Of Telomere Ends,0.3274618398142816,0.028765764094068193,0.02119462778943108,0.111282315124605,0.029342464197359815,0.0891052762175694,14.592786330530854,0.36417973836805567,0.07170904024236095,0.20164031876033647,0.02016188346434391
Positive epigenetic regulation of rRNA expression,0.3178087019077076,0.03410327831374718,0.007161597853098866,0.03822035497783478,0.17943634160767838,0.20994512305641835,14.016415813810246,0.2163852308127865,0.3020127937623541,0.1345389737179795,0.02016188346434391
HATs acetylate histones,0.38649819925017165,0.03410327831374718,0.2070762893657142,0.04935723733725322,0.11097215726715728,0.21695874905843562,13.939015513412821,0.2163852308127865,0.030516063692681818,0.1798784936933379,0.017856601285202563
NoRC negatively regulates rRNA expression,0.3770434041819036,0.0325217690446456,0.008370763149532553,0.04935723733725322,0.09010835012973298,0.37137823623676314,13.88959108202861,0.16182276061534803,0.23870183288234678,0.1769444229370582,0.019884162654665232
Recruitment and ATM-mediated phosphorylation of repair and signaling proteins at DNA double strand breaks,0.42294365561005925,0.007995462566028908,0.12965441902793146,0.06184669650093062,0.12297503341115117,0.29289194999454227,13.859682910230246,0.3542115809162533,0.01714122722228888,0.14977380619000835,0.02016188346434391
Negative epigenetic regulation of rRNA expression,0.37340491568813655,0.03836359705615339,0.006447728486283161,0.05982566225308549,0.08137488744988705,0.377552187620955,13.776888852799775,0.15271902445286084,0.3449458706145253,0.18252028412069074,0.019381876640583485
RNA Polymerase I Transcription,0.24054597841199601,0.06567152611574525,0.051582431900431526,0.0851617464398604,0.1135873016027539,0.17354019253500413,13.750776866552046,0.0812063307117142,0.5369060214219167,0.17366881723936337,0.02016188346434391
Nonhomologous End-Joining (NHEJ),0.47431408752954995,0.014620145985485795,0.16196828370308336,0.04935723733725322,0.31109911069872154,0.17782849760542868,13.64172077459829,0.29660836147921943,0.031207853571071927,0.20518099275781104,0.02016188346434391
RNA Polymerase I Promoter Clearance,0.20192565089237619,0.08713902204740483,0.04610805333604729,0.0904187839410088,0.13229382363370978,0.16322139208540346,13.560851450084753,0.10084514832109612,0.7939331771386402,0.16271086689445965,0.02016188346434391
Activation of BMF and translocation to mitochondria,0.14065260697253998,0.177483250209662,0.5253237004152339,0.3068408536319029,0.042883502253188314,0.11782137108546971,12.650324537798236,0.16182276061534803,0.10559997552105035,0.03637247750608986,0.0205705867406578
RUNX1 regulates transcription of genes involved in differentiation of HSCs,0.3091021120330819,0.018954669022879022,0.5208784085017446,0.060269564483543925,0.01476531561183578,0.03344521240449635,12.48014819241019,0.07792487622775776,0.025656239224022985,0.009918187540673437,0.002033095381203362
Entry of Influenza Virion into Host Cell via Endocytosis,0.07838949066460485,0.18863471258502842,0.9139403815151352,0.009271452243162386,0.24604269233844164,0.03344521240449635,11.284448264105134,0.03735150528070878,0.6063828498642296,0.01624342158958707,0.0205705867406578
Processing of DNA double-strand break ends,3.919280671221302,0.3937037921938002,0.6433550253241016,2.4109806726497025,0.029342464197359815,1.9238169843471438,10.686746351935499,0.08945240395150945,0.030516063692681818,0.239373411003108,0.0205705867406578
G2/M DNA damage checkpoint,3.984797581657117,0.47494193798792855,0.7694247592965657,2.1775498218450977,0.03561443896734106,1.9406338390433697,9.825429060251722,0.07260973089054908,0.07180435893200297,0.3097918021738573,0.0205705867406578
Phosphorylation of the APC/C,4.669992632535279,1.756020909402417,0.4286258044138892,3.9399174180593812,0.23478071363063527,1.6479536918082869,9.289356068220673,0.2163852308127865,1.312435444087585,0.17366881723936337,0.0205705867406578
TCF dependent signaling in response to WNT,0.22226095194327442,0.0041415130067379066,0.6053571729515159,0.04935723733725322,0.035242765060870374,0.062342860634254364,9.289356068220673,0.013832047629339445,0.010192009220456431,0.015109452486541454,0.007124279107210465
HDR through Homologous Recombination (HRR) or Single Strand Annealing (SSA),4.685444152265811,0.6864328997003396,0.5048403002819399,3.6690349146972303,0.05255676928043215,2.6893479068158164,9.022430353623024,0.035678407025491424,0.07611526563666107,0.20164031876033647,0.0205705867406578
APC/C:Cdc20 mediated degradation of Cyclin B,5.090176460816957,2.10041916306321,0.28288263285100695,4.074573723171935,0.17943634160767838,1.6464467152178077,8.890473363836753,0.180535308724066,1.3166592497519127,0.20905985349324643,0.0205705867406578
Homology Directed Repair,4.999215133736768,0.8773279708149949,0.4796041214144529,4.167365897629255,0.05474493930448405,2.876065062241514,8.663991003004064,0.05123749501913784,0.13304027986080363,0.17366881723936337,0.0205705867406578
APC-Cdc20 mediated degradation of Nek2A,4.1621705471868395,1.5805289299068355,0.5434406680463838,3.2391576224519354,0.08294909046845032,1.6226272382307418,8.429640419057389,0.11378438522405787,0.5447074087147876,0.355776630872752,0.0205705867406578
DNA Double-Strand Break Repair,4.1621705471868395,0.5992366807246078,0.7694247592965657,3.203254488191209,0.09010835012973298,2.959252731604109,8.429264657180449,0.005944580984187704,0.13060070192159745,0.15595392336974065,0.0205705867406578
MET receptor recycling,0.04928899568506983,0.7455109789182445,0.3056643977582422,1.0872529072995656,0.03051182562459503,0.06757942185023598,8.315023992666397,0.013794874063355852,0.30422970231981966,0.6975647459037332,0.00448481198252406
Epigenetic regulation of gene expression,0.06367840549800571,0.24048089995539634,0.052830128054873075,0.14695065091282336,0.0754509647730105,0.10701748382418778,7.981845664863647,0.02905224502648331,0.040273174201230055,0.0871790529338077,0.017856601285202563
Activated NTRK2 signals through PI3K,1.6776150439235862,1.345899687757287,0.047388985435650295,0.29399463820603416,0.0529724690965621,0.0891052762175694,7.970003582010001,0.035931637038673955,0.26093331721755625,0.047213762381028014,0.011572518879454664
PKMTs methylate histone lysines,0.15553863478974497,0.20530121590660397,0.16561002236461633,0.16688551265907992,0.010965951118341942,0.10561321487305866,7.9105736041226455,0.04179506912911364,0.007634732607947014,0.08830509167887894,0.0205705867406578
Deregulated CDK5 triggers multiple neurodegenerative pathways in Alzheimer's disease models,2.5537655731388837,1.4130958150568405,0.006447728486283161,3.9725183903210914,0.0529724690965621,0.9573828400222452,7.133256791483927,0.38238818774612987,0.02835783206174029,0.16844200949161964,0.0205705867406578
Neurodegenerative Diseases,2.5537655731388837,1.4130958150568405,0.006447728486283161,3.9725183903210914,0.0529724690965621,0.9573828400222452,7.133256791483927,0.38238818774612987,0.02835783206174029,0.16844200949161964,0.0205705867406578
Synthesis of PG,0.6102831775043566,1.0559834400077919,1.6841976488887815,0.03946658470290005,0.1312593077478795,0.21286095328758559,6.631152994058032,0.4786631702100554,1.545485407965231,1.4349315997984646,0.0205705867406578
Depolymerisation of the Nuclear Lamina,5.209346915942296,1.4808242619944953,0.05994748235883548,2.8342036285327,0.008823698564347535,0.4714874490934214,6.631152994058032,0.17907326296169956,1.247215647017944,0.22679032450499353,0.02016188346434391
Cell junction organization,2.896608882450078,1.7373604471541306,0.9259330021761503,0.14695489643660056,0.2542589101416653,0.13135651959627073,6.558575881695306,0.7459445825987553,0.010945985304358169,2.4969708328589526,0.0205705867406578
Protein repair,4.182074562180078,4.337643875574933,0.24671022028048756,1.6508724832353172,0.021584098702548498,0.14924929088275404,6.52853068525572,0.21420106503504985,0.8391194969791339,0.8699232020551411,0.7720032696343511
Interconversion of nucleotide di- and triphosphates,0.25677265392006754,0.08871569804298865,0.8684737843515147,0.19423575926546022,0.15391758631365496,0.28804569730031565,6.519434853054752,0.022941605769410314,0.030516063692681818,0.004827425322896521,0.006067741264086045
Transcriptional regulation by RUNX1,0.14065260697253998,0.0681139179983946,1.2611479900445042,0.11478161579214227,0.11097215726715728,0.3036476596520863,6.4734060340438,0.018475860232878318,0.07611526563666107,0.220464441217506,0.02016188346434391
TP53 Regulates Transcription of Genes Involved in G2 Cell Cycle Arrest,4.1431109318638475,1.3365816061004303,0.8775052153620542,4.185152940501614,0.2342310230778416,3.236029829979548,6.434118242109649,0.035931637038673955,0.4337252410523361,0.05499167024065026,0.0205705867406578
Mitochondrial protein import,1.8464514655808673,1.0006360475181444,0.657234500208197,0.7917159268255737,0.021584098702548498,0.40369607530390944,6.411949023455198,0.02632598816201017,0.01463596456215758,0.3739167808134351,0.0205705867406578
Mitotic Anaphase,3.487045613473077,1.031314320731218,1.5127994886930334,4.3599358197291735,0.4534767581051247,4.039729336070449,6.380009036270201,0.013794874063355852,1.0676449120237455,0.02923658724807649,0.007124279107210465
Mitotic Metaphase and Anaphase,3.4935952626647016,1.0441013758245863,1.5114096024105987,4.409491458717437,0.4566552239735236,4.065559850023401,6.352621679606324,0.008779263276148279,1.0768669995400273,0.031077504946629343,0.007124279107210465
POLB-Dependent Long Patch Base Excision Repair,4.531874430701603,1.2403060631485923,0.10384844579696334,3.3154522141639213,0.0014349646310368783,0.7875850151821872,6.3177695346781215,0.08332433909314117,0.30422970231981966,0.09004319794499907,0.005362165129213392
Separation of Sister Chromatids,3.5200210638337723,1.0163561637012315,1.5426972081227424,4.423749761318378,0.4450529442875135,4.172433205281988,6.3015577502766025,0.01862770606062742,1.0607313152192224,0.031362940789528074,0.006439778329648174
G2/M Checkpoints,3.094841421469977,0.5490510581763963,1.37068303999105,3.3076341503081466,0.32582572414290095,3.5060641338282723,6.096964459222926,0.05349955706312649,0.6864678218908261,0.005184337088570995,0.007124279107210465
Mitotic Spindle Checkpoint,4.832337890318468,1.345899687757287,1.0836169719117295,5.314660247167506,0.2342310230778416,4.256660220897857,6.073427225988736,0.002150506895865547,0.939462129539006,0.009918187540673437,0.014140972406075477
Sema3A PAK dependent Axon repulsion,5.1844652900987125,3.455999050882823,0.1592795467684749,1.1554873047401526,0.049011938657299574,0.186453970383787,6.059289987829844,0.5879794135819795,0.3449458706145253,2.028802049067569,0.0205705867406578
"Tristetraprolin (TTP, ZFP36) binds and destabilizes mRNA",3.6444819698302027,9.53164623636776,0.024258602084863697,3.795361473745612,0.03037832900535845,1.047817436358569,6.059289987829844,0.23793283651383798,0.040273174201230055,0.7520459370666227,0.0205705867406578
M Phase,4.120835730432128,0.9873028988543633,1.5707926883028964,4.715000380653277,0.3849662020406678,4.402175644740812,5.833779297865922,0.05868925762185237,1.3424929167979498,0.031362940789528074,0.007124279107210465
Telomere C-strand synthesis initiation,3.747919673402356,0.6835954940949582,0.017622319314628904,2.3280462768298826,0.010392162938325766,0.9132773301977105,5.828065818200372,0.16182276061534803,0.025520651274027292,0.12219001595202753,0.007124279107210465
DNA replication initiation,3.747919673402356,0.6835954940949582,0.017622319314628904,2.3280462768298826,0.010392162938325766,0.9132773301977105,5.828065818200372,0.16182276061534803,0.025520651274027292,0.12219001595202753,0.007124279107210465
Signaling by NOTCH,0.29090166678569346,0.028765764094068193,0.9522713891635142,0.04935723733725322,0.04878833663417165,0.19171679355860713,5.820520471351397,0.030682395683755394,0.06391780198832335,0.012271021494916615,0.011572518879454664
Signaling by Rho GTPases,2.664033610369288,0.5526363963086544,2.274885723560553,3.5958013925100523,0.4534767581051247,4.256073424557964,5.691091269377969,0.32931438375004946,1.0607313152192224,0.18760789246317805,0.004256448479203082
RHO GTPase Effectors,3.3565205397812465,0.7342487371792781,2.0171627409154,4.529329994460248,0.4349268050895258,4.60557860979239,5.641699493607279,0.2962144543874212,1.2280616535792224,0.16521747174622992,1.4211825658839458e-05
Cell Cycle Checkpoints,4.569965080580181,1.0626197124517938,1.2844779416541017,4.937196448619952,0.3084020387485022,4.430630238810977,5.577640139567127,0.0102236024749315,0.9941738217520114,0.001382678827966951,0.010196603360476397
Resolution of Sister Chromatid Cohesion,4.669992632535279,1.3634164185352167,1.09280465397262,5.313406515359904,0.26954001648567144,4.262820605699839,5.500010080996987,0.0011907674331750283,1.0768669995400273,0.010798831609938074,0.011572518879454664
G1/S-Specific Transcription,4.127806377690403,0.9046901622143523,1.104402810752373,5.125146772838227,0.36109911463712796,4.531342425877387,5.494877690255265,0.002685889100830068,0.7528983035164135,0.025738091334970677,0.009195830546098273
Amplification  of signal from unattached  kinetochores via a MAD2  inhibitory signal,4.687687597551877,1.2304621956139719,1.1080142867481713,5.2587100641489,0.2342310230778416,4.350622566526976,5.490064743849278,0.01436388694034848,0.9183417080588485,0.019623055370456246,0.011572518879454664
Amplification of signal from the kinetochores,4.687687597551877,1.2304621956139719,1.1080142867481713,5.2587100641489,0.2342310230778416,4.350622566526976,5.490064743849278,0.01436388694034848,0.9183417080588485,0.019623055370456246,0.011572518879454664
MET activates PTPN11,0.05443007689884654,0.9349222257729286,0.5962968418153374,0.29827053277746923,0.035242765060870374,0.18689553271278658,5.413347072801911,0.2228586552593793,0.13304027986080363,0.08012792825191113,0.02016188346434391
Cyclin A/B1/B2 associated events during G2/M transition,4.752013205836402,2.0024694606119406,0.43208732419693935,5.853965726974887,0.3316464207449497,3.4780107161138876,5.380128441781175,0.07260973089054908,1.212108798614645,0.027667975949021116,0.0205705867406578
NRAGE signals death through JNK,0.8249271191890815,0.39267416939091765,0.09195011694976081,0.006033430838456407,0.042883502253188314,0.22409980200093463,5.356424016672302,0.05868925762185237,0.9183417080588485,0.23128455177020601,0.0205705867406578
YAP1- and WWTR1 (TAZ)-stimulated gene expression,0.1431649500401693,0.6384094527580007,0.47920778294306393,0.3729282097470741,0.042883502253188314,0.19071922783477607,5.322223349220175,0.41684617403551705,0.007273080838337512,0.1394291995060592,0.0205705867406578
G0 and Early G1,4.120835730432128,1.7038814381444953,1.1218633841839731,4.243884070542391,0.2274297230214329,4.028154787152712,5.269081670518545,0.0029312849590641156,0.36156093800555034,0.11273887482504696,0.011572518879454664
tRNA processing in the nucleus,3.147686070610188,1.2529042786831548,0.5715396633564448,2.830578809334323,0.05504204576044744,2.48710469194361,5.260969208950433,0.00879906843308925,0.030516063692681818,0.32234833696243953,0.0205705867406578
RUNX3 regulates YAP1-mediated transcription,0.18069928451485742,0.6275113441982112,1.0656597975578093,0.08547006878229026,0.06721771756542588,1.337690256557727,5.242406799810075,0.41467360319760227,0.030516063692681818,0.3217118743295598,0.0205705867406578
EML4 and NUDC in mitotic spindle formation,4.490528054406933,1.1792092222560608,1.2324765196623204,5.313406515359904,0.30367845008946215,4.430630238810977,5.168476905698573,0.017172723935525117,1.1250354049131508,0.052337248053301706,0.00878080713513573
G2/M DNA replication checkpoint,5.4283056048597595,1.7038814381444953,0.2414132631233956,4.5747668230143415,0.11135680538334007,1.789186272232282,5.061760985202888,0.20260097685380585,2.075178049912152,0.08012792825191113,0.0205705867406578
Signaling by cytosolic FGFR1 fusion mutants,1.2993426158607275,0.12915954393555187,0.059001780961282044,0.47174869812409426,0.05255676928043215,0.058487194056494406,5.040946789026232,0.14427956355334182,2.0966888371816554,0.49908047942718176,0.0205705867406578
Cell Cycle,4.665190849510488,1.2529042786831548,1.1501179622416629,5.314660247167506,0.3098940351147704,4.571340271263178,5.010303642605408,0.015711814391091466,1.0607313152192224,0.01743719946004612,0.010196603360476397
"Cell Cycle, Mitotic",4.5366383708434,1.248364758387203,1.2324765196623204,5.314660247167506,0.3306462928904108,4.571340271263178,4.9794755124814385,0.034666081693411656,1.2169459271393357,0.04486608432646572,0.007124279107210465
Phosphorylation of proteins involved in G1/S transition by active Cyclin E:Cdk2 complexes,4.282558606097966,2.1123297243367083,0.28820969364456595,4.3599358197291735,0.10785718707582663,2.3952252015465745,4.926239010682496,0.008445947038710865,0.6281547910981724,0.05712713462688093,0.00878080713513573
