,ER Status log adjusted q-value,PR Status log adjusted q-value,HER2 Status log adjusted q-value,Triple Neg log adjusted q-value
Acyl chain remodelling of PS,15.88967812188186,7.117766339989429,0.054898073435270076,11.292138759271465
SLC transporter disorders,15.56789584593087,6.43111723743495,0.2042921494430769,11.180105081856468
Beta-oxidation of very long chain fatty acids,18.944199208983218,12.70142270859485,0.3335758201922889,11.08728032571684
ABC transporters in lipid homeostasis,24.626946186201646,9.447737902283487,3.093782349415292,11.020837880172895
Nucleotide salvage,20.090334482180147,12.011589026285641,2.3747426571401085,11.012245398186758
Peroxisomal lipid metabolism,17.12005484999764,10.463302415066476,0.3479980701872465,10.976146541194854
Interleukin-37 signaling,17.168352286890222,6.489824928951568,0.16550823683900537,10.973610803927919
"PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling",18.328187536380536,8.287658932759733,0.29153425804315203,10.884570155705996
alpha-linolenic acid (ALA) metabolism,22.22322424970944,13.658670372765435,3.6765990222009775,10.749308934614202
alpha-linolenic (omega3) and linoleic (omega6) acid metabolism,22.22322424970944,13.658670372765435,3.6765990222009775,10.749308934614202
Negative regulation of the PI3K/AKT network,17.33231170995322,7.760136231207852,0.19917967555152272,10.667570755678856
Metabolism of lipids,13.893880824027466,5.2032358010450706,0.024691119412183736,10.65125393624415
Transport and synthesis of PAPS,11.095611667229152,3.61118859325195,0.15738103945370216,10.597295300412226
Synthesis of very long-chain fatty acyl-CoAs,17.1228635913123,4.769572910522207,0.18704486851885097,10.456188421951254
Release of Hh-Np from the secreting cell,16.64397845922142,8.285897702278245,1.099902789139057,10.289554608502469
Metabolism of vitamins and cofactors,18.88745893862686,8.68614802300542,1.2681133638981803,10.19398719831911
Organic cation transport,17.62347348179844,6.354286937975654,1.073862464399047,10.19354829624259
BBSome-mediated cargo-targeting to cilium,18.729299995000613,10.043162851366242,1.4781202199564907,10.177289984992674
Signaling by SCF-KIT,15.01715552772417,6.387832341062184,0.052642385234791284,10.148616384079947
Cellular hexose transport,15.808756792285262,6.621119178408423,0.6216561826608921,10.14264406373955
Carboxyterminal post-translational modifications of tubulin,17.926792177712287,9.892958148781354,1.3752678348290768,10.130350208309155
Purine salvage,18.91999223230756,12.424491379264973,1.8242744363061956,10.078064903820101
PTK6 Regulates Cell Cycle,15.207887357124024,5.839977229898416,0.17004678473240825,10.026287334983525
The NLRP1 inflammasome,17.218245508399228,5.964676834792323,0.7512316503690365,9.902949456264151
Erythropoietin activates Phospholipase C gamma (PLCG),11.749702104294343,4.953914257142314,0.27339676327822854,9.728146013323334
Organic cation/anion/zwitterion transport,16.581319415990176,6.031947568406324,0.9856163435401929,9.62996699659167
Neuronal System,14.735773921865915,6.123157714723919,0.21891767689138908,9.410305651754596
Acyl chain remodelling of PG,14.691839956154015,6.023648890606491,0.015705742694774608,9.394961061565583
Nucleobase catabolism,16.388341705886923,7.394771031125837,1.3486822018752895,9.0989581192389
Transmission across Chemical Synapses,14.377555151075706,6.811402427768297,0.32717985640762554,9.08483822134105
Beta-oxidation of pristanoyl-CoA,8.880072307605582,5.287819211491296,0.07415266118968508,9.067602835615297
Regulation of RUNX1 Expression and Activity,15.550065153701702,7.916113159222162,0.1267659073290159,9.018548785939544
G2 Phase,12.869168024061583,5.613468396182502,0.3180609763944395,8.8249700834211
Gastrin-CREB signalling pathway via PKC and MAPK,12.034963432918088,4.010590408295668,0.03405021436505504,8.78306735295447
Metabolism of folate and pterines,18.645453020251935,8.996085098889461,3.2998467686188717,8.645982964132328
Netrin-1 signaling,13.813002272720622,6.384092662732359,0.3872748181586117,8.476728441204468
Activation of PPARGC1A (PGC-1alpha) by phosphorylation,13.655328332493191,6.047470107000214,0.04955451165674589,8.42571401473647
mRNA Splicing - Minor Pathway,12.015947768512865,5.487366945451716,0.26428235192634775,8.339217366974733
RHO GTPase Effectors,13.631246340813702,7.653261921177031,1.3563713247324534,8.334205100423516
Activation of SMO,10.995323345557045,2.524524019958852,0.06545475795899763,8.305523770574172
p75NTR signals via NF-kB,13.235053604710176,5.436642147880142,0.11542055086504217,8.272135806577875
RHO GTPases Activate Formins,13.460879485750956,7.64988776149158,1.2350872186154143,8.26902998799569
SUMO E3 ligases SUMOylate target proteins,10.794192068448377,5.505787791665669,0.11999043647863848,8.26902998799569
Elevation of cytosolic Ca2+ levels,17.093563676248102,7.48534137515405,2.039689772188491,8.251486538393442
Acetylcholine regulates insulin secretion,9.506736206715322,4.158997067684233,0.26442775263406404,8.2039600467956
Pentose phosphate pathway,10.604572796006488,3.261716372845185,0.0583018047324016,8.181322752262977
Pentose phosphate pathway disease,10.296730795518743,4.129294232288821,0.03405021436505504,8.170072509988252
Transport of small molecules,11.661509655868574,4.545178498352939,0.13392229660795937,8.12846600405962
Cytochrome P450 - arranged by substrate type,12.898587027303623,7.7997365329817185,0.11582502645865285,8.116004021155666
Erythropoietin activates RAS,11.025365463186002,4.8375428498623725,0.054898073435270076,8.081915690629806
Enzymatic degradation of dopamine by COMT,14.122636027536092,7.456762792244014,1.252497369970673,8.04663915511162
Dopamine clearance from the synaptic cleft,14.122636027536092,7.456762792244014,1.252497369970673,8.04663915511162
Downregulation of ERBB2 signaling,8.957352798151902,3.0285410306267813,0.12979112667699758,8.022622027823493
"Nucleotide-binding domain, leucine rich repeat containing receptor (NLR) signaling pathways",13.798365959510068,4.958160900425227,0.27339676327822854,7.902453594607606
JNK (c-Jun kinases) phosphorylation and  activation mediated by activated human TAK1,13.134009365941056,6.91033061520093,0.352093063417028,7.902453594607606
CLEC7A (Dectin-1) induces NFAT activation,15.980526489757802,7.8477775495378514,2.170287288890011,7.863393121831288
Regulation of TP53 Activity through Phosphorylation,10.808119535633123,6.031366403591467,0.2217385622324488,7.860852735950865
SUMOylation of DNA replication proteins,11.48719746080726,5.970280054248976,0.47290251983731024,7.804532596257977
Phase I - Functionalization of compounds,13.121691598476438,7.082730718680997,0.1734618151053512,7.7861662903582936
Signaling by Interleukins,11.749227829176524,5.812088899970536,0.13739148989797056,7.748809597099902
Evasion of Oncogene Induced Senescence Due to Defective p16INK4A binding to CDK4,8.445546468272054,3.65574804061348,0.22062124929266871,7.732676989776382
Evasion of Oxidative Stress Induced Senescence Due to Defective p16INK4A binding to CDK4,8.445546468272054,3.65574804061348,0.22062124929266871,7.732676989776382
Aflatoxin activation and detoxification,11.998084967887253,6.163867656418475,0.449935954138434,7.71598685061588
NOD1/2 Signaling Pathway,13.336941768868346,4.57408263370252,0.27339676327822854,7.6661247026640345
Interleukin-12 family signaling,12.390501128390241,6.651528742706028,0.27339676327822854,7.608089098014205
Signaling by Erythropoietin,10.76383061015006,5.160622862865286,0.020011579540359148,7.5837988893248465
Signaling by EGFR,11.13232740400198,4.773645312767533,0.052642385234791284,7.582173567145353
SUMOylation,9.708906239046092,4.958160900425227,0.07949710923381015,7.581064513376399
CREB3 factors activate genes,7.29751712671077,3.345770972096273,0.03681778007363743,7.531597089613921
The activation of arylsulfatases,13.090591506310375,5.913853445112725,0.9645082869912316,7.53083020382201
Glucose metabolism,12.019803013725207,5.299681604082465,0.5908220483704031,7.523127017664385
Linoleic acid (LA) metabolism,16.673014263677103,9.737968873776683,3.622365846973549,7.505675391433629
RNA Polymerase III Transcription Termination,10.135470847511618,6.243850678874506,0.06545475795899763,7.500549916756783
p75NTR recruits signalling complexes,12.827787394286913,5.2032358010450706,0.15045829316236406,7.481918218467206
Signaling by Rho GTPases,12.042760811018493,6.91033061520093,1.1800928762788319,7.480759111815473
Constitutive Signaling by Aberrant PI3K in Cancer,14.574247422620596,7.388850849552494,0.7360337822439522,7.441370320826059
Nucleobase biosynthesis,11.24878192684122,5.206015892747998,0.14625718173017327,7.424714776267535
Presynaptic depolarization and calcium channel opening,6.006323052670605,1.422797820577783,0.1267659073290159,7.4199887255936385
Neurotransmitter clearance,15.607861162525623,8.566023387068514,1.9253038925022425,7.411282165939103
PI3K/AKT Signaling in Cancer,13.774335834519938,6.893247169427098,0.5434212744153638,7.364188533941106
Diseases of glycosylation,9.407842167646114,2.958832420561843,0.054898073435270076,7.300405854865592
Glycolysis,11.305916946781094,5.291330870147915,0.5456971520630215,7.290655159051656
"Cell Cycle, Mitotic",11.959257284562018,6.984053681334812,1.252943234089113,7.242576773959488
Biological oxidations,10.84005428599935,5.185119135684343,0.13737878390441077,7.220853529810442
Regulation of TP53 Activity through Association with Co-factors,5.146736065052818,1.7769264945066765,0.08053097516447791,7.210213659591597
Protein-protein interactions at synapses,9.079966313785796,2.203262118898682,0.20900230152426236,7.206524002157106
Ephrin signaling,13.531372333354769,5.390620404740735,0.10312047769175728,7.194830071808754
Antimicrobial peptides,18.94375334636856,8.543205500966668,2.719433418899183,7.107429804189954
G1/S-Specific Transcription,10.635015653862062,6.502351381594664,0.9100733137995998,7.071197086984259
Defective ABCC8 can cause hypoglycemias and hyperglycemias,12.383628788612013,5.989215809237826,0.4500646097552264,7.06302470402782
EML4 and NUDC in mitotic spindle formation,11.590851376190958,6.91033061520093,1.2381163892776543,7.050122317785832
Activation of C3 and C5,13.644209193133898,10.613013396179467,1.0016014594284663,7.050122317785832
Interleukin-12 signaling,11.116315837023256,5.693420882991737,0.278071717515999,7.0289967195090695
Interleukin-4 and Interleukin-13 signaling,10.241735044927967,4.34392529279564,0.011522179905073239,7.016150630812512
CTLA4 inhibitory signaling,9.85014276431907,4.758499482905486,0.06552765289749728,7.009511710393938
Mitotic G1 phase and G1/S transition,10.797111556734865,6.016485621490473,0.9199019591399247,7.005134113281664
Cell Cycle,11.295002061312486,6.545069832255921,1.1019733278974924,6.992742107423506
Mitotic G2-G2/M phases,12.494686100940008,6.789652025240235,1.870959926513724,6.9819279725300785
Ion transport by P-type ATPases,10.917630418312669,3.5903499730144257,0.054898073435270076,6.981690831633392
Amine Oxidase reactions,15.978852575558678,5.728059042114238,2.3331368314925642,6.9789474637479945
Mitotic Prometaphase,11.76390486559613,6.91033061520093,1.2713663573813458,6.9671439541514575
Signal attenuation,12.387923600335803,5.670895070270869,0.3222290475833151,6.954487248080988
Signaling by FGFR2 in disease,9.770328993553541,5.436642147880142,0.20733447609845146,6.940467258339608
Factors involved in megakaryocyte development and platelet production,12.335170042922265,7.586206450011893,1.822530752137043,6.921460139794943
Activation of PUMA and translocation to mitochondria,5.795756230554234,1.7701941002724535,0.020854092286383772,6.914940867342774
TP53 Regulates Transcription of Death Receptors and Ligands,9.652863159215583,3.7583469969716,0.010609174865149415,6.8502182983876
Carnitine metabolism,6.858071318349229,2.341411978620518,0.15246545564384334,6.826735409346845
CD209 (DC-SIGN) signaling,9.2089940658026,4.304324691687834,0.054898073435270076,6.826734549110524
Transport of Mature mRNA Derived from an Intronless Transcript,8.988739766699736,3.8176310709148114,0.06633011350491398,6.815376098855893
RHO GTPases Activate NADPH Oxidases,13.734798700830575,6.473710381455743,1.0224739299160435,6.780117900939582
Immune System,11.23611106457246,6.051498299227768,0.29805308419469156,6.77552549630634
GRB2 events in EGFR signaling,9.232496778873875,3.4382439525765394,0.06504515887457071,6.765284888592311
Purine ribonucleoside monophosphate biosynthesis,9.739430594321561,4.313592264848945,0.06545475795899763,6.743188346313307
Phosphate bond hydrolysis by NUDT proteins,12.89749152178286,5.23057388386686,1.83578073266633,6.724995073588528
Innate Immune System,10.65414048173797,5.4427998309245895,0.24657269166993154,6.688282046844016
Neutrophil degranulation,9.550968166556679,4.57408263370252,0.08320730792795045,6.688282046844016
RUNX2 regulates osteoblast differentiation,8.380131592504792,1.6373605244199627,0.038076686170882175,6.6878825856600095
SHC1 events in EGFR signaling,9.012948599120188,3.400673747534519,0.07415266118968508,6.674388341418576
M Phase,11.13678527973594,6.550912848300295,1.3883589541756451,6.661282014618737
SHC1 events in ERBB2 signaling,8.596542195235674,2.401618938239318,0.4500646097552264,6.654022255795067
Amplification of signal from the kinetochores,10.618239569229535,6.356647071773749,1.0744178786991094,6.623795384615436
Amplification  of signal from unattached  kinetochores via a MAD2  inhibitory signal,10.618239569229535,6.356647071773749,1.0744178786991094,6.623795384615436
SUMOylation of DNA damage response and repair proteins,6.922778279200486,3.0588661416316327,0.1700214353749923,6.600248709756299
Vpr-mediated nuclear import of PICs,9.056935087075558,3.9740036557720457,0.1267659073290159,6.578744306175193
HHAT G278V abrogates palmitoylation of Hh-Np,11.284357577174475,5.352144966104385,0.18186359759020884,6.578744306175193
DNA Replication,10.755634505128587,6.2119705539013665,1.1760789973964367,6.5477516104632825
Rho GTPase cycle,10.84005428599935,5.449310854114264,0.054898073435270076,6.51675215103632
Activation of ATR in response to replication stress,10.65787014087034,6.047470107000214,0.9483503623853312,6.486287714981639
Transport of the SLBP independent Mature mRNA,8.521617977154147,3.806539901900137,0.08053097516447791,6.47965698277467
S Phase,9.986818483344127,5.670895070270869,0.8347281389924819,6.478380412324376
CDC6 association with the ORC:origin complex,13.556332852455197,8.04989167946514,2.6053515450831313,6.46668921161865
G2/M Transition,11.274304065675622,6.183542069487273,1.649383711636974,6.437552485164815
Cell Cycle Checkpoints,10.339894672479659,5.93664531853932,1.1019733278974924,6.428721455813364
Androgen biosynthesis,13.903880032289536,3.6075773736192036,1.1800928762788319,6.407174780593042
Diseases of metabolism,8.865968886295132,5.080549998067549,0.0075597536727844954,6.402114927957789
Resolution of Sister Chromatid Cohesion,10.365220480239227,6.236564654643277,1.1723025029145806,6.371937132800291
Defective Intrinsic Pathway for Apoptosis Due to p14ARF Loss of Function,5.302295921491433,1.2269394417114814,0.08053097516447791,6.360798465253579
Diseases of Programmed Cell Death,5.302295921491433,1.2269394417114814,0.08053097516447791,6.360798465253579
Metabolism of steroid hormones,10.48567317704836,6.8816483479508745,0.04921540097061567,6.344226699738836
Metabolic disorders of biological oxidation enzymes,9.039738211736946,6.228614780602588,0.054898073435270076,6.339073064785087
BH3-only proteins associate with and inactivate anti-apoptotic BCL-2 members,20.020562675258976,10.09623096468488,6.488040909184198,6.332210403089739
Mitotic Spindle Checkpoint,10.153425768526605,6.22022955694882,1.0975480072998631,6.328810670534392
COPI-dependent Golgi-to-ER retrograde traffic,11.170240194318264,7.293352125056902,1.7010163383357149,6.328810670534392
Manipulation of host energy metabolism,16.573667003567586,6.789652025240235,4.490302971359043,6.315748469643474
Antiviral mechanism by IFN-stimulated genes,9.8605111858172,4.631951872609887,0.6173638328227646,6.31124305743702
Cell-Cell communication,10.808119535633123,3.5153797058568923,0.054898073435270076,6.310803310193356
Separation of Sister Chromatids,10.068994713520512,6.047470107000214,1.1800928762788319,6.295581787650153
Mitotic Metaphase/Anaphase Transition,9.695632175781919,6.469019433486349,0.8352210319075661,6.2894082617040405
G alpha (i) signalling events,10.600766251210803,5.993893692844314,0.32824148302029493,6.212557531890008
The phototransduction cascade,9.291142406285143,3.3521540133111722,0.09688074365984714,6.195895269372736
Calcitonin-like ligand receptors,12.515276852222796,6.473710381455743,2.5192850844121315,6.193124668390791
Nuclear Envelope Breakdown,8.859861979337559,4.310700078560918,0.2932883245410247,6.156198624924509
Synthesis of IP3 and IP4 in the cytosol,10.783493239079037,4.75083652377137,0.07663023475089577,6.144488168972217
Viral Messenger RNA Synthesis,8.171985687977726,3.909287399369457,0.07531254618957914,6.1430276941877295
Transport of Mature mRNAs Derived from Intronless Transcripts,7.692924075176851,3.3094698921012466,0.03888365505305225,6.136514969423153
Mitotic Metaphase and Anaphase,9.827984693117344,5.953466352681934,1.189662790433151,6.115127439394891
Export of Viral Ribonucleoproteins from Nucleus,8.06880575469852,3.4228887086815605,0.054898073435270076,6.113259197212621
Host Interactions with Influenza Factors,8.380131592504792,3.6121380286319775,0.15145053581223697,6.106626421172125
NS1 Mediated Effects on Host Pathways,8.380131592504792,3.6121380286319775,0.15145053581223697,6.106626421172125
Dissolution of Fibrin Clot,8.880072307605582,2.785267396356343,0.14837863663321685,6.077709496363639
Phenylalanine metabolism,11.227629002656705,5.93664531853932,1.1760789973964367,6.077709496363639
Mitotic Anaphase,9.754388707834373,5.88765619331101,1.1760789973964367,6.072068326080894
Endogenous sterols,9.426685891994387,6.047470107000214,0.031295711370882905,6.037109139250694
TP53 Regulates Transcription of Genes Involved in G1 Cell Cycle Arrest,9.096917461784699,5.339096804432512,0.49178590785832693,6.0309800526727075
"Synthesis of IP2, IP, and Ins in the cytosol",6.889994712809196,3.7996081146734806,0.352093063417028,6.01234522066559
Iron uptake and transport,13.09705323353641,5.1502588907711075,1.2681133638981803,6.012143516774314
Gap junction assembly,10.297715761536578,7.985234813873696,1.033524641859479,5.998316541524579
RUNX1 regulates transcription of genes involved in WNT signaling,15.03336595053973,7.322059190599728,1.3486822018752895,5.9856300041801855
HS-GAG biosynthesis,11.005131967479448,3.1419482523173072,1.0234405153152644,5.969824927075206
Transport of the SLBP Dependant Mature mRNA,7.472447656989559,3.3848565672639053,0.054898073435270076,5.956742680872263
Neurotransmitter receptors and postsynaptic signal transmission,9.858865838088114,5.259444444564421,0.352093063417028,5.956742680872263
Regulation of signaling by CBL,9.708018927590173,5.594072785190265,0.07415266118968508,5.909559120699027
Phosphorylation of proteins involved in the G2/M transition by Cyclin A:Cdc2 complexes,9.416829612724682,4.930073213455798,0.9751812831998461,5.909559120699027
Regulation of Glucokinase by Glucokinase Regulatory Protein,7.63031024347095,3.2397358632141766,0.052642385234791284,5.909559120699027
Defective TPR may confer susceptibility towards thyroid papillary carcinoma (TPC),7.63031024347095,3.2397358632141766,0.052642385234791284,5.909559120699027
HS-GAG degradation,10.959545672411211,3.566550619476814,1.0016014594284663,5.89047871796654
N-glycan antennae elongation in the medial/trans-Golgi,14.238082341599616,8.459639455232775,2.839421268995068,5.866163882253824
Sphingolipid de novo biosynthesis,9.416829612724682,3.849467280130906,0.05324149201498353,5.857585748791391
Tryptophan catabolism,21.834641300865844,11.487422148413565,10.128613909837954,5.851681096855018
Phenylalanine and tyrosine metabolism,7.930348301319748,4.408520259411495,0.06545475795899763,5.84647662873835
Interconversion of polyamines,14.512502028806086,5.196302869330769,1.0189174839114892,5.8424176038566875
Intrinsic Pathway for Apoptosis,7.437226922625175,2.935584195991662,0.054898073435270076,5.840870622352001
Transcription of E2F targets under negative control by p107 (RBL1) and p130 (RBL2) in complex with HDAC1,7.450429132159102,4.129294232288821,0.13975772503982278,5.838177290626989
Interactions of Vpr with host cellular proteins,8.017137403354182,3.5698048587068025,0.1267659073290159,5.804987017677978
Signaling by GPCR,9.506736206715322,5.025030697880095,0.17973659604945144,5.8034271650880385
MyD88:MAL(TIRAP) cascade initiated on plasma membrane,8.177112097471783,3.2592571679279527,0.011619037434255962,5.802985208865072
Toll Like Receptor TLR6:TLR2 Cascade,8.177112097471783,3.2592571679279527,0.011619037434255962,5.802985208865072
Amino acids regulate mTORC1,11.846357053542684,4.958160900425227,1.1334151973754802,5.7913980930830045
Gene and protein expression by JAK-STAT signaling after Interleukin-12 stimulation,10.23411901051157,6.751797345095618,1.0743438264625624,5.769816484949556
Toll Like Receptor TLR1:TLR2 Cascade,8.171985687977726,3.2735371616129303,0.022375902476645972,5.729361286891331
Toll Like Receptor 2 (TLR2) Cascade,8.171985687977726,3.2735371616129303,0.022375902476645972,5.729361286891331
Class I MHC mediated antigen processing & presentation,8.518853415778601,4.493450314879185,0.2211257378582269,5.724941833067355
GPCR downstream signalling,9.442079795039989,4.984064533967006,0.18444098389416475,5.717731764874617
Nuclear Pore Complex (NPC) Disassembly,7.677123714057337,3.511081339809217,0.15945735191260796,5.677735148633121
Kinesins,9.520669564287333,6.354286937975654,1.2350872186154143,5.666964451639848
Fructose biosynthesis,6.286933025480487,3.1795544713306603,0.22174552958198596,5.6614505175318035
Recycling pathway of L1,7.143446479068942,3.151596359644359,0.00969479056751304,5.657044471505494
Ovarian tumor domain proteases,10.759887064657391,5.6636986241483624,1.0016014594284663,5.635935080425334
Synthesis of DNA,8.978501303363286,5.352144966104385,0.998226917104486,5.620815864281381
Peptide ligand-binding receptors,9.522964615114919,5.739727368558369,0.2805782662502945,5.616098689299206
