,Cluster 1 p-values,Cluster 1 q-values,Cluster 10 p-values,Cluster 10 q-values,Cluster 2 p-values,Cluster 2 q-values,Cluster 3 p-values,Cluster 3 q-values,Cluster 4ER+ p-values,Cluster 4ER+ q-values,Cluster 4ER- p-values,Cluster 4ER- q-values,Cluster 5 p-values,Cluster 5 q-values,Cluster 6 p-values,Cluster 6 q-values,Cluster 7 p-values,Cluster 7 q-values,Cluster 8 p-values,Cluster 8 q-values,Cluster 9 p-values,Cluster 9 q-values
Cleavage of the damaged pyrimidine ,25.673112876237838,23.989772579764402,1.8122649438657383,1.732748529380175,3.261742391378748,2.2545638067516247,0.6945099088189588,0.6346593093268684,8.14702480931914,7.7521292106991835,6.435864409531804,5.932636646046974,0.5571743379930331,0.5049473151780883,2.4872711417459272,1.9711794679752899,1.6820932850168073,1.5343708904508078,3.0057964439848073,2.8296502174122073,1.5379616465376256,1.3137254464617714
Recognition and association of DNA glycosylase with site containing an affected purine,25.321160044660306,23.6945473726358,1.7461767089972489,1.6689176777847,3.3238302916692746,2.294823269546478,0.574298074877889,0.5302589093766262,7.608756020153424,7.233390202418752,6.2108671128284865,5.726567273481701,0.518160550073207,0.47412138457194436,2.4112354075103486,1.9192031179328723,1.876740536523473,1.7057494989622786,2.9050712963390333,2.735010557916651,1.3789469223750288,1.1734006839810718
Cleavage of the damaged purine,25.321160044660306,23.6945473726358,1.7461767089972489,1.6689176777847,3.3238302916692746,2.294823269546478,0.574298074877889,0.5302589093766262,7.608756020153424,7.233390202418752,6.2108671128284865,5.726567273481701,0.518160550073207,0.47412138457194436,2.4112354075103486,1.9192031179328723,1.876740536523473,1.7057494989622786,2.9050712963390333,2.735010557916651,1.3789469223750288,1.1734006839810718
Displacement of DNA glycosylase by APEX1,0.36112624168000035,0.3452274119764661,4.786180643351129,4.639633606693065,0.363508779790948,0.3328495613826815,0.332266335035959,0.3256927135124269,2.773852726581043,2.591858344848481,0.4833754303122346,0.44600546654623285,0.8821833060164248,0.7697658858827024,0.4791455753937905,0.4111073430620769,3.6181679489114487,3.3331714681887967,1.638948084902316,1.5316978736737277,0.643107265319361,0.5572580690149079
POLB-Dependent Long Patch Base Excision Repair,15.397312006044631,14.170408365431006,40.58450115589301,40.00169169037837,1.763035164332568,1.255112279639358,29.49302740330236,28.248100658555465,43.84952762629015,42.06419779127938,3.3828648702924293,3.074656290001325,7.441123240757421,6.764795925674822,1.440968143438625,1.1494652566503731,0.5908772221988878,0.5417094524917812,2.2386468521458567,2.098218792336105,10.87729580932959,9.624945046503488
Resolution of AP sites via the multiple-nucleotide patch replacement pathway,14.212253916545496,13.028984072862691,80.0957102774721,79.07336775158066,3.209502731478573,2.2231077527747414,30.39574157243519,29.12587620160175,48.683687569784766,46.44606006377937,3.9592267400838432,3.617516586932461,7.506919813624339,6.823579517150903,2.1022274088403377,1.6707798768188276,3.7534116901663106,3.4606779254207147,4.425928779858261,4.195123733423621,8.864070351532755,7.8267094795010435
Resolution of AP sites via the single-nucleotide replacement pathway,0.8428554732327607,0.7190666174886479,5.611365563613894,5.4523156976077365,1.403399237518871,1.0124180600905912,0.5777338882587478,0.5327667427422247,7.076081221344666,6.715921048496848,10.22807495580182,9.473559068205272,6.60058858987323,5.971308799034842,3.359291657187632,2.6207043638337146,3.7545118939989486,3.46136706014372,26.411866845251605,25.554450580957816,2.158934491470544,1.8438594522265226
SLBP independent Processing of Histone Pre-mRNAs,10.635793907473598,9.68259713531272,58.41524427428068,57.649885520200534,1.2317086027282749,0.9003263247582544,17.288853921902536,16.414524938913964,37.66287931442098,36.27034984842984,4.7412967862165925,4.352371444494278,10.415672693431738,9.574535129703145,1.0075943719622473,0.8103713948710091,6.506412833364318,6.055300141227367,2.85350226601586,2.685912626618218,7.21319824719253,6.384940211639952
Activation of BIM and translocation to mitochondria ,0.3748705166076565,0.3542880518157949,11.560646723484732,11.324825018342597,0.8642939506856641,0.6433516521111845,1.1513766129395233,1.0354183589775787,2.426592172449651,2.264815649187599,2.62638951142694,2.36342718622617,0.4855553559514723,0.4477287207638933,0.39411164656656955,0.3578812648816237,1.491053616455419,1.3600702240153588,0.541297744757031,0.5147462620985269,1.1601129751289392,0.9834979016545483
Activation of BAD and translocation to mitochondria ,0.7394247303716398,0.6345370626271271,70.74840710064633,69.85810960995789,0.7724591756024413,0.5835088469840329,10.502453947271443,9.866886432594008,15.108113381107598,14.425781899215307,0.6536835391061071,0.5926295736961292,15.304122899470022,14.202157995464697,2.673420892747347,2.117034624117537,14.062633197458469,12.986373693688046,9.270537251710197,8.90360620369405,3.7793305841228153,3.2898911051236186
Activation of NOXA and translocation to mitochondria,0.37709221157779316,0.3552250627665978,45.401533905389485,44.76324353237658,0.7586090908846348,0.5756584640349474,4.336293948956015,3.9619893030710736,10.415733885985718,9.926940198156673,0.9698041392664251,0.8662474394097995,0.9364700766876951,0.8136203026538599,1.2238348430103327,0.9770639575650656,3.229883536158868,2.9669212109580982,2.5155605120657074,2.362509283994641,0.4304253793472794,0.3911553833266017
Activation and oligomerization of BAK protein,0.9825072282152914,0.8339012230049001,14.292288646963625,14.020411441059762,0.38560254088088053,0.34851740354613076,5.177881995858324,4.749252737723626,5.652569391594877,5.3413700849021355,0.7179285349666586,0.6454032031716902,2.4383534254543253,2.1369044288105172,0.6974698657693249,0.568463752434722,0.9508985334102541,0.8601738973330557,2.00650294795925,1.876368063405973,1.1636121122346619,0.9866824465828763
BH3-only proteins associate with and inactivate anti-apoptotic BCL-2 members,3.8620234330986434,3.4255127897360484,51.497431310163826,50.8038718485087,1.8531786415145965,1.3209871820944499,13.675395267118434,12.936078314902637,0.9084005362899714,0.8434732387894769,19.0558226377026,17.47937657514382,37.90093330504705,35.36227580337767,4.871699433503528,3.8013858442341943,19.315638984241563,17.856162728619807,15.078381649406344,14.565712329688672,1.1796904777825192,1.00023583710023
Release of apoptotic factors from the mitochondria,10.812812191833967,9.850111878928345,1.7269458436672418,1.6504366736169322,0.40406131577203713,0.3610567197353164,7.568159839224009,7.0338237113372735,12.315536671824233,11.742237684499642,0.7043880604149623,0.6343240180857814,5.1037169271188505,4.590365290714242,2.8137567620312556,2.2179337541319724,1.3184438004083783,1.1997420472287577,3.2239012328841405,3.037747829853149,3.4230374852621503,2.971332707850256
Formation of apoptosome,5.596111113701814,5.0471999776668826,15.909446580311737,15.614653568076434,0.6686725920254739,0.5186696247177863,1.9748676049541,1.7776446278628617,2.2942564832296113,2.1373155782691557,0.6771043029034957,0.6121770054030011,0.6185524007874419,0.5565333361316296,2.4683236660222203,1.9563355926903603,10.700717278475127,9.939002975000424,0.6642079142440734,0.6263812790564943,0.7708761043808743,0.6571002393425627
Activation of caspases through apoptosome-mediated cleavage,2.6125260027407324,2.277988483727279,19.301236510216917,18.972094023090172,2.9448591840705123,2.0396701379807203,7.806160716563393,7.259467259297472,2.7416190133265514,2.5621643726442622,10.26884571924802,9.51194359223111,26.08681047994179,24.26136342172304,0.3627882556458772,0.33934205830430053,11.02160562598746,10.238822979990573,18.339575338737415,17.713848078807363,2.6342505693071048,2.255460914730293
Cytochrome c-mediated apoptotic response,4.800502685176924,4.300597772499562,12.291879958729785,12.043998818358835,0.34610091710263396,0.3268934752403526,1.9345045450160323,1.7473856851623113,1.9766412501459991,1.8362131903362473,0.38727453635113684,0.36844502845747706,1.1113245391280524,0.963602144562053,2.007051566427351,1.5971163490963993,8.317419100798402,7.729775138438149,0.4575355926263982,0.43957991698308274,0.6236658932848135,0.5418803007270148
SMAC (DIABLO) binds to IAPs ,9.598764054926523,8.698595810211781,0.7316532119683327,0.6992751937598299,0.32141349494422666,0.3108784597339196,3.573407426745747,3.2544217554384507,5.298959479294073,5.0082196089773205,0.42866477772272854,0.403002787401592,5.793052680504501,5.2313561948465495,1.891695735216401,1.5022573462024023,1.3386564224437532,1.2183002120941202,2.7194082104588353,2.5585424763776503,0.8701377289743505,0.7383041676195894
SMAC(DIABLO)-mediated dissociation of IAP:caspase complexes ,9.598764061456512,8.698595810211781,0.7316916561709154,0.6992751937598299,0.32141349495213867,0.3108784597339196,3.573407428867214,3.2544217554384507,5.298843384872487,5.0082196089773205,0.4286647777770885,0.403002787401592,5.7930526842303545,5.2313561948465495,1.8916957361651021,1.5022573462024023,1.3386564230271525,1.2183002120941202,2.7194082119770377,2.5585424763776503,0.8701377292670447,0.7383041676195894
Apoptotic cleavage of cellular proteins,0.9297061251468388,0.7898563536807248,60.69517770702986,59.89819694875256,0.7841456697256696,0.5882977867448456,2.4364161221617455,2.1991503775116295,1.5967142996216952,1.4818486109703233,3.95889353047622,3.617516586932461,1.2165124636296194,1.0568581514828788,0.8750182418032688,0.7074286024056265,9.891529724180995,9.189618188161106,17.857664079709366,17.244146705775005,2.2802554694761836,1.948423843838655
"SMAC, XIAP-regulated apoptotic response",9.795706566946864,8.88201833606966,0.7483033613608026,0.714116722185843,0.35712588717836136,0.3300866042631805,3.96881870650457,3.624675546717659,6.96218137928282,6.606793721296246,0.60345632097193,0.5490986586493373,6.49034201342594,5.8675436585274,1.977892271905602,1.5706395490937552,1.2968753634215457,1.1803697943501086,2.1893550291458626,2.0509476186265956,1.2130229347889527,1.0294336394684247
Apoptotic factor-mediated response,4.804865827307518,4.304298375246279,29.28810734007923,28.848093564226907,0.3459417161942409,0.3268934752403526,1.0222320905144477,0.9181434928792679,0.9895848589346613,0.9168056959116608,0.6428455050182991,0.5829949055262087,1.5326705654030701,1.3331331090058123,2.074543426449899,1.6481556931977914,9.167559028929404,8.512562962413643,0.7603610206075724,0.7113577218665647,0.6604802204092853,0.5715581729699367
Opioid Signalling,3.5726927762136302,3.1651933019710192,12.037202750172375,11.794844717073943,2.073878216380928,1.4672924274746557,5.295106802323981,4.85911164255175,23.073406795883706,22.104902906878845,10.13846015536241,9.392194343191285,0.44258730415407715,0.4133563611797604,5.048980854190708,3.928071754546919,10.808294615835454,10.038028527260563,15.594578589197095,15.064521259289634,7.663445696914772,6.781205848895949
PKA-mediated phosphorylation of CREB,2.3090836948452163,2.006795481550118,99.57559464190734,98.10388392986857,2.6275494613153016,1.8226240702411538,8.450023569832272,7.882177679035411,3.0714404053919644,2.875205584544792,20.74184065993287,18.981334408647136,10.791496889076605,9.93858112600949,1.4854491972364465,1.1831609839413482,27.579599805789208,25.51806355883949,40.2169479707294,38.93356297416333,0.3642522123666854,0.34388925452005953
CaMK IV-mediated phosphorylation of CREB,5.152531299911701,4.624597663634095,49.213813362815564,48.539469131004665,1.1969312441801185,0.8753187837242757,5.14443517509483,4.719721025732288,7.56080150309803,7.186992344411048,2.3992611587327173,2.1576342612983868,9.40514431241658,8.604209404075236,3.651573083987565,2.8412693643394147,12.282541354882735,11.393867396858502,6.222119694283357,5.9285634018640465,0.37685595233112484,0.352081636272839
Calmodulin induced events,2.722500067580397,2.3751072278813563,93.52413762394177,92.26040731537218,3.4632150222859277,2.3585968030166424,2.52536809332869,2.2808840887807267,8.538278167992209,8.128880776713773,24.903598673407874,22.489879908346797,8.18002412507976,7.453164974352445,2.578089284038841,2.037254863115188,30.70911115750729,28.169780431350603,44.000023457015494,42.565046190239926,3.162294262617746,2.7342264712476165
Cam-PDE 1 activation,3.685455361573118,3.265723612729516,17.774928571739217,17.45898754121742,0.3644151428555098,0.33330620437658104,9.154014775482006,8.562300544510453,34.58078689603309,33.28928400924483,8.14271519830614,7.536023811364935,0.3949472293822788,0.3750229528678037,0.3606665950722252,0.33810355915732127,1.755653523554232,1.5966036575480738,9.540397723436264,9.166588564749281,2.831304970609336,2.4320017281088604
phospho-PLA2 pathway,1.4765829143866311,1.2566841753416653,2.2458817965699045,2.1538650010095637,0.3120506724734962,0.30551028705292166,1.1580924526315912,1.041586883560154,0.7748496816064898,0.7223864366035601,0.5276914615261236,0.4831885538751879,1.9307194657088464,1.6875443645173436,1.014990529000643,0.8174376662255574,0.7130069172904177,0.649293751086427,0.4598002635485402,0.4409707556548804,1.6531404870390287,1.4074770254370894
Ca-dependent events,2.491452274186949,2.171592770629308,95.21057023088268,93.89376147882966,3.4315228545585073,2.3426008071191586,2.7269624404115,2.4642306404204812,8.073919750447768,7.681390284456627,24.198983997677903,21.923567930783104,8.224897796053495,7.493549773508975,2.3652334322762743,1.8834807819433683,30.563870746833135,28.092160034794368,45.365887377820926,43.85525859975179,2.8163122847272892,2.418581625050341
CaM pathway,2.7229231790386725,2.3751072278813563,93.52633647372878,92.26040731537218,3.4642080439424685,2.3585968030166424,2.5250753642885124,2.2808840887807267,8.540081763966418,8.130146546635466,24.903598673407874,22.489879908346797,8.177665996863468,7.4519218518369446,2.578089284038841,2.037254863115188,30.70911115750729,28.169780431350603,43.99536421712047,42.565046190239926,3.163195109467818,2.7345658513331204
G-protein mediated events,2.5265764988417923,2.204524691376398,93.61211200930728,92.34062623604092,4.400036083169934,2.980854422407353,5.173065327697591,4.7461182969027575,6.454856422780307,6.114856008065352,28.333090813760116,25.493403316426754,13.479628324207104,12.480882907116843,2.297430846628339,1.8268519573364905,28.940576519072973,26.799859026075634,47.35369426316641,45.69964334279496,1.6937882800380815,1.441871947719183
PLC beta mediated events,2.315824007791565,2.0126949530297353,94.30195600719294,93.00633655420985,4.310138256708973,2.9227484303702442,5.178977036150251,4.749785584432965,5.923268050486257,5.601216243020863,27.82933881018959,25.211500062472588,14.18232267791254,13.139671775123198,2.2921138717590157,1.8234942366973923,29.366633273146924,27.148600845860827,47.25009599578206,45.60538510166476,1.7511381363183383,1.4912342356017887
ALKBH3 mediated reversal of alkylation damage,0.5489354162202825,0.47862524496306125,2.348201566277957,2.254369264118326,1.581827177077873,1.1395002427243173,5.078548265689894,4.655501275694815,3.608130857016631,3.38684014728676,0.8378324788863273,0.7527481101618216,9.320049532847696,8.521754720672561,0.9784897568946385,0.7874874629811432,2.5153396130532215,2.2961351898746103,0.49944902370113714,0.47644463156745176,3.176725238243233,2.745842825991642
Electric Transmission Across Gap Junctions,4.3412942680680535,3.877575045866897,4.132660009800946,4.003371978584386,2.2632502598344466,1.5717539587430984,5.789813051880655,5.3236505350106995,0.9387603197958724,0.870660303343768,1.5436627332918937,1.370181111230918,0.5556446341969319,0.5038896706479244,1.3763020460094957,1.1016748884722398,0.459529888913638,0.4289529908891689,1.5318970295277892,1.4278084318926092,0.9405691896321655,0.7956695961480837
Transmission across Electrical Synapses ,4.3412942680680535,3.877575045866897,4.132660009800946,4.003371978584386,2.2632502598344466,1.5717539587430984,5.789813051880655,5.3236505350106995,0.9387603197958724,0.870660303343768,1.5436627332918937,1.370181111230918,0.5556446341969319,0.5038896706479244,1.3763020460094957,1.1016748884722398,0.459529888913638,0.4289529908891689,1.5318970295277892,1.4278084318926092,0.9405691896321655,0.7956695961480837
Presynaptic depolarization and calcium channel opening,5.147695067545005,4.6204670276564075,63.4197554558224,62.60125725755897,1.6672807723958472,1.1968091324726302,0.44250243770322784,0.41949804556954245,7.309640411582133,6.941733420499324,13.496147476785275,12.493205945101407,4.324168964674595,3.853697324751378,4.601733373909141,3.5987918422252725,7.9685871569660875,7.409174433706089,13.343222181546901,12.87089060523956,4.226665938297517,3.6966086083900556
Neurotransmitter release cycle,4.726663346521599,4.230056053954217,43.52507385030411,42.90810282411834,4.129042069370241,2.7945045503567876,1.1619672183188088,1.0446393811281427,0.40425545779039473,0.3915061719549718,8.839782663386059,8.183839389336907,12.271672775470897,11.336881065992744,8.131072962493544,6.156686891262727,7.396368119227403,6.8788999166279625,20.690549483887533,19.996990022232414,1.7732990321124145,1.5088618720780589
Neurotransmitter clearance,1.4151282300448373,1.2065963017879409,72.54958144356537,71.62897203860808,4.444039353185198,3.0080441934129665,9.154610758548097,8.562300544510453,1.6411316605451247,1.5221546018210055,15.197319097369022,14.026638380994237,14.28035819563649,13.223620831568542,0.778837016751133,0.6324998804597743,19.452593333502303,17.98088262146354,24.05407264780355,23.24646641808163,1.0008368336522198,0.847189456576216
Neurotransmitter uptake and metabolism In glial cells,0.3636540755901806,0.346570477487471,38.87304559353275,38.309468052903895,2.1078431172056535,1.4923532635059076,2.2732276948954575,2.0515882930654743,1.3735960153039333,1.272424826685973,3.6008674702205026,3.2805703881806156,11.768612718130116,10.85663767455418,1.749866193784519,1.3851592471548593,5.08547410653588,4.722907863922183,29.124857868730917,28.19898420261554,1.555645620365203,1.3266182853970687
Neurotransmitter receptors and postsynaptic signal transmission,0.7775163583255728,0.6640125224110335,69.40999600269394,68.537232046559,2.2121849546510908,1.538828879084256,4.881774957644003,4.475056751185049,2.6760540468181397,2.498809560940967,8.751230433771127,8.100002672736057,9.249391977652243,8.45502745910554,1.5896798483331902,1.2654246141123036,19.214574093225256,17.76699706090321,35.745775052245214,34.619297998362484,1.0521229707975175,0.892770986878721
Transmission across Chemical Synapses,0.6952965485406709,0.5970233017041766,80.96819925025856,79.93014409915837,3.4026156566980412,2.330664190432142,2.614964603642566,2.362838743832867,4.582486075950458,4.32143778858517,14.144181157298409,13.089823494975816,8.365762930422482,7.621825780569941,3.557792984916366,2.7686141337346823,20.00220044710061,18.484732244501167,41.30256290519646,40.00278749244222,2.034284947172778,1.7345095344185362
Neuronal System,1.5767128691469376,1.3430482602369676,80.80066938011703,79.7694179370718,3.9419300360153064,2.682026135298757,1.3584697850265912,1.219486004838251,5.179429117807233,4.894432637084582,16.61032196447227,15.271236817708097,6.635754896697476,6.0037915062888665,3.8432439999893986,2.9903282369222834,19.516997018283206,18.03269717893642,38.480612023347256,37.2641738164118,3.40681025981081,2.9564096150490493
Formation of RNA Pol II elongation complex ,0.6018514019306439,0.5205710967851707,40.49966757179614,39.91925532201976,1.0597399624351376,0.7807559609704574,15.07449153775499,14.286599485979623,15.967193018250548,15.245880488023099,0.3204991901470698,0.3147377466161751,3.441742512984249,3.0429640977161068,0.5783638984390062,0.47851235374708095,0.5258279815852713,0.48708656042091175,1.1091643559380784,1.0334037545567007,7.023275451475152,6.214322571117961
IRS-mediated signalling,1.1709735901178082,0.9981159544887495,17.879425073623462,17.561746862857813,0.5196066582483778,0.4281071879212185,2.0429253161022016,1.838462694250704,10.047348543924997,9.579959205668874,0.34555107350346675,0.3355960701434533,13.952863575400514,12.92608943471001,1.0300332446725273,0.8278354768516782,6.680081624825202,6.213306130461949,2.027944381502653,1.896110820147892,5.600827923410023,4.956117029292718
RAF-independent MAPK1/3 activation,1.210421280112254,1.0309666394299648,0.3924957002259466,0.3840378967596502,0.32384114878181086,0.3115734080021251,1.624121209646198,1.463255475565013,4.297521499392323,4.048527258501141,1.9804649993112444,1.7742459575574712,0.523419756177699,0.47775532207375515,1.3482525849543707,1.077938997236057,1.6378144481257357,1.4936275630738085,2.337072160931437,2.193449677290689,2.4004325170343295,2.045519238649158
MAPK1 (ERK2) activation,1.842002422063264,1.581717394089342,2.829153359615218,2.7255966597585926,0.3566380869216846,0.3300866042631805,4.521334215277151,4.137506285147327,5.41411022116882,5.115169188079304,0.3029254905353756,0.30229683737580604,4.1588330830886004,3.705347191156034,0.8586290406204463,0.6968525173583944,0.4472643161092032,0.4200445165987778,0.9941350464393044,0.9262799098819898,3.4063405527645725,2.9564096150490493
SOS-mediated signalling,0.34069885216916623,0.33014205794351453,38.39572730240183,37.8370731723162,1.8118753888587713,1.2909466541498242,0.8519865491899599,0.7709586674644979,3.286501328379777,3.079945493680158,2.298917839097403,2.0648944573608308,0.5093198245769612,0.46782242706575067,2.7256993967216085,2.153965436250644,9.087895670812218,8.440403799325308,9.598546094343018,9.223248774924398,1.7586671774691738,1.4972367567911518
Formation of the Early Elongation Complex,1.131945977418336,0.9640482184746704,42.886370116298046,42.2805244832403,0.559049682939121,0.45431877596456705,18.573769242912206,17.65315983795492,20.98433959495622,20.077463966234493,0.4774382309259716,0.4418901659279623,4.164193392071283,3.7101121683362357,0.532453473113073,0.44583809992909645,0.4396659881895244,0.4140039978683879,1.9789161496398884,1.8501917713018043,9.54790898155676,8.44061524404637
Inhibition of replication initiation of damaged DNA by RB1/E2F1,2.779104158457166,2.4241908800719942,4.044810366280315,3.917491927926661,0.6611779460171716,0.5175554623764236,8.742773623820494,8.163952198100901,10.84844351105623,10.337814732987095,1.0872118209350674,0.963249184070887,3.807533869172762,3.3833761509970404,2.273560644500222,1.8080102411662748,1.635496248896072,1.4918737652553238,1.228452828492381,1.142348390051928,7.25905837192564,6.426549459219404
E2F-enabled inhibition of pre-replication complex formation,12.838365480109118,11.731071742598727,83.43477195084716,82.3509593091863,2.342177165871196,1.6183896699486369,30.781849387135622,29.502467133023224,47.293970979422404,45.153253486425065,1.6618235034644326,1.4783513856984298,18.60825186247083,17.312632409487744,3.525910630354974,2.746920973375226,5.083391493075057,4.721528985221698,12.257231482679863,11.809067169021667,7.767587055409819,6.869079594676542
E2F mediated regulation of DNA replication,15.287328797168206,14.070890590232747,81.53747424662038,80.4854833175769,2.27651304402065,1.5767046330885268,38.731525512448464,36.99450035701226,49.305432361284794,47.030016294389995,2.439840001078423,2.1956487255706376,11.901867983868314,10.981258578911028,4.195637320514441,3.2802291092429634,3.2377748984016335,2.9744287512740666,8.118455687975086,7.783012445000608,10.773696920852451,9.536069414847054
"Activation, translocation and oligomerization of BAX",1.3431990664827858,1.1436616100855277,9.319019971734589,9.10908176416022,1.5841413821699009,1.1406532319322775,6.424895814741297,5.929600591093048,5.962078536473996,5.6387060149185855,0.6402662668361873,0.5811360896523496,1.95653096581257,1.7086498254416198,2.04255356858219,1.6206144732744203,0.8765868232166665,0.7937888887508237,0.40092264396035304,0.39118184256862926,1.1338288599952044,0.9625272793518448
Activation of BH3-only proteins,2.3856175837442977,2.074418277051556,86.9763783975206,85.83566090452327,0.6720072955310232,0.5194277011080103,10.20529943120701,9.579572171276956,19.31711357242762,18.473061269691808,1.6474984006049382,1.465822299928691,7.7660146961337775,7.071419967047051,1.5066739901081756,1.1993161338538472,14.571100516121808,13.463806778611417,4.912968622524817,4.662858420894789,2.305734116407309,1.9684737390583817
Effects of PIP2 hydrolysis,2.08829477639494,1.8065153065442865,37.64922901208474,37.09659639242205,0.5059186755722549,0.41955884489750667,0.598387777198978,0.5506247348035789,7.295268432075556,6.927849686667447,0.9781352365350225,0.8727140374188592,4.437106619364946,3.9572546043714745,1.3567370269799879,1.0848598210761258,5.31555553106457,4.939263263944115,17.124798613932565,16.540573198330904,0.831731089475483,0.7080469357769225
