,cluster 4ER+ log adjusted q-value,cluster 9 log adjusted q-value,cluster 7 log adjusted q-value,cluster 3 log adjusted q-value,cluster 8 log adjusted q-value,cluster 10 log adjusted q-value,cluster 1 log adjusted q-value,cluster 2 log adjusted q-value,cluster 5 log adjusted q-value,cluster 4ER- log adjusted q-value,cluster 6 log adjusted q-value;
Formation of the beta-catenin:TCF transactivating complex,0.980413177315755,0.3699715056935029,0.5135324116895287,0.9866419833135416,0.36291076110700615,0.4013208343401238,9.381180067353954,0.3317123913477366,0.32562191479076025,0.33258796371861915,0.3058816822504121;
PRC2 methylates histones and DNA,0.7822114120327258,0.40635828091759346,0.3470627101458231,0.3881184602725714,0.4787052772642629,0.3540970261426587,9.381180067353954,0.4589589677230645,0.304022170806971,0.44065582267788694,0.3030467691849685;
HDACs deacetylate histones,0.5207997001917796,0.30844391279468925,0.3196134621449584,0.4587439285777226,0.3439134979171695,0.30146276932778043,9.371041894335699,0.5441976880079119,0.32815084485870327,0.4523752385250782,0.3058816822504121;
Activated PKN1 stimulates transcription of AR (androgen receptor) regulated genes KLK2 and KLK3,0.7175472994770875,0.4884606935737067,0.366949816375034,0.3861917421038416,0.41200215293113845,0.39430841547958956,9.364424194509207,0.4628527562793292,0.33154605935666304,0.45624654297268663,0.3030467691849685;
RNA Polymerase I Promoter Opening,0.7151269155074763,0.4081569957992947,0.7405497402194402,0.3881184602725714,0.6365226938672327,0.3602412378659337,9.364424194509207,0.4849021760868862,0.31837078236812505,0.47469881290334454,0.3030467691849685;
ESR-mediated signaling,0.8095567597018617,0.6548547433458314,0.6572321378897701,0.3861917421038416,0.3439134979171695,0.3131733022391502,9.364424194509207,0.3425206096678787,0.5499710518837738,0.5395292439805308,0.3058816822504121;
SIRT1 negatively regulates rRNA expression,0.737234817812786,0.3918158246299093,0.30940075881351375,0.3861917421038416,0.3949868831937319,0.36504209043534924,9.364424194509207,0.4681429621674421,0.32862921558872876,0.4724375413774212,0.3058816822504121;
ERCC6 (CSB) and EHMT2 (G9a) positively regulate rRNA expression,0.618211570078509,0.3661244522353381,0.46664001802859756,0.3386982920238717,0.3560720414244286,0.44569311077594786,9.35521608786933,0.45581352672996794,0.33154605935666304,0.4835502797846719,0.304386645547509;
Amyloid fiber formation,0.9149588627223844,0.6667335201465007,0.39270315707408476,0.3503872330012344,0.30375222730238194,0.31386541612384017,9.342950285367806,0.43689376352239484,0.33154605935666304,0.3160906252949544,0.3058816822504121;
RUNX1 regulates genes involved in megakaryocyte differentiation and platelet function,0.7239736512740405,0.4730357518880468,0.6066943934222234,0.42473955215330406,0.35573771241937,0.3540970261426587,9.342950285367806,0.36874386332471404,0.32815084485870327,0.44297218450032194,0.3058816822504121;
DNA Double Strand Break Response,0.8667064535396588,0.32191146796407205,0.7489325828238745,0.9291364593011864,0.3042255279326703,0.4900916220639341,9.24916931856126,0.33990809468773525,0.36494779765230456,0.37624361554160873,0.3058816822504121;
Pre-NOTCH Expression and Processing,1.012327603540305,0.5357174180674569,0.8766094637153571,0.30369550171821563,0.32241542142330576,0.42626866561660953,9.145757483721125,0.3843543347571224,0.30320189929542807,0.3999098848210651,0.3058816822504121;
Pre-NOTCH Transcription and Translation,0.9811650749744681,0.6400399366779007,0.38859813124312903,0.3198395805486888,0.32162569628297455,0.3829935829538375,9.145757483721125,0.3300822406904645,0.35498464823095066,0.3460910784833522,0.3058816822504121;
RNA Polymerase I Promoter Escape,0.7310097309575617,0.4081569957992947,0.7654194085499344,0.3419116764261123,0.3363756870848458,0.4902850695312733,9.078557008445102,0.3365679382419524,0.3973359698996325,0.3172734172535683,0.3058816822504121;
Interleukin-7 signaling,1.3611983823695928,0.3294692550550253,0.3880260456385692,1.1972211483346187,0.35830085846035925,0.48028547546007494,9.070907556781187,0.3798463884820114,0.3667930924250126,0.3126363644087619,0.3058816822504121;
DNA Damage/Telomere Stress Induced Senescence,0.6693465453492974,0.4973390331284095,0.48229794972224077,0.4122898044496199,0.30205993956164995,0.5581083835580521,9.05011049491788,0.35971925328583354,0.6378208783171073,0.32876304540081414,0.3058816822504121;
Recognition and association of DNA glycosylase with site containing an affected pyrimidine,0.5564095875223556,0.37241732449433484,0.9025292611706707,0.6331163983894467,0.3726312003584851,0.4449779716204163,9.05011049491788,0.4160132539854251,0.418328270869041,0.33136141337096764,0.3058816822504121;
Cleavage of the damaged pyrimidine ,0.5559180708397177,0.37234464403614825,0.8924130679511554,0.6224873233331033,0.3726312003584851,0.4449779716204163,9.05011049491788,0.4160132539854251,0.418328270869041,0.33194577730543684,0.3058816822504121;
Depyrimidination,0.5570690974099597,0.37249060790310484,0.8911643813619001,0.6224873233331033,0.3726312003584851,0.4449779716204163,9.05011049491788,0.4147150908432823,0.418328270869041,0.33194577730543684,0.3058816822504121;
Base-Excision Repair, AP Site Formation,0.5371694080478244,0.3667015217797265,0.8684664226929528,0.5352341583752406,0.3764809604369917,0.4300466631842503,9.03843575931445,0.4147150908432823,0.4188260016559483,0.33239293645350926,0.3058816822504121;
Meiotic synapsis,0.5580015467292053,0.45420597324553597,0.3222246234534123,0.38834181595987294,0.3612714049482728,0.43542751860299406,9.017798047628979,0.37363972655453026,0.36494779765230456,0.37636770226551464,0.3058816822504121;
B-WICH complex positively regulates rRNA expression,0.7384307257286054,0.46476382621388357,0.6638647364013122,0.5900152111207688,0.30418705243734856,0.36661029332342004,9.006795889151855,0.3367084026894726,0.33154605935666304,0.4121812366547547,0.3058816822504121;
HCMV Infection,0.6228686233239953,0.36231980452174045,1.118210307214934,0.4697453280545078,0.30418705243734856,0.5462729377806315,8.94842314589692,0.3363632797967757,0.32562191479076025,0.47575535715786293,0.3032374359194824;
Depurination,0.4744429550612993,0.31575954172831694,0.48334727750452494,0.38834181595987294,0.3446537762589258,0.45383436213121164,8.94842314589692,0.42864408325691356,0.36912070063627533,0.3125959432148359,0.3058816822504121;
Recognition and association of DNA glycosylase with site containing an affected purine,0.47476612700521587,0.3161945191525057,0.4854620550605871,0.3885437114480813,0.3439134979171695,0.45383436213121164,8.94842314589692,0.43082664047868263,0.3692084556559849,0.31251058493821443,0.3058816822504121;
Cleavage of the damaged purine,0.4733641387973989,0.31575954172831694,0.4763371513150519,0.38834181595987294,0.34567611556003847,0.45383436213121164,8.94842314589692,0.42864408325691356,0.3686373679969023,0.3125959432148359,0.3058816822504121;
Mitotic Prophase,1.8042258469991819,0.8294461261044188,0.3222246234534123,0.3628766921649118,0.31425684010309535,0.4300466631842503,8.94842314589692,0.5621778024384817,0.37721347556427365,0.31976599226670577,0.3058816822504121;
Packaging Of Telomere Ends,0.48313498722766435,0.32033896412378116,0.4729950177607321,0.39026723080694775,0.35287049791273545,0.45754070803288877,8.947778001709427,0.44770267919471923,0.37721347556427365,0.3109481832046546,0.3058816822504121;
Positive epigenetic regulation of rRNA expression,0.44892267618575543,0.301642737608084,1.0823857520889626,0.3163292158034775,0.5003695008016937,0.33959079579710477,8.578918825694043,0.31539388260432966,0.46398019506563953,0.500617207250586,0.3058816822504121;
HATs acetylate histones,0.5713099103892809,0.30402224815377643,0.40817777475727235,0.34552125769421904,0.30985369422832876,0.35080794711616836,8.531842286225439,0.31950585589685954,0.327558860071622,0.3016079287765944,0.3058816822504121;
NoRC negatively regulates rRNA expression,0.563031714284851,0.3090278240817252,0.6572321378897701,0.3503872330012344,0.35573771241937,0.6240899428585395,8.502755573223194,0.41726320199610084,0.3863260201897388,0.30241267449194814,0.3058816822504121;
Recruitment and ATM-mediated phosphorylation of repair and signaling proteins at DNA double strand breaks,0.6201674709820884,0.42627266988006274,0.3858912259508796,0.3861917421038416,0.3764809604369917,0.474224940380697,8.486203814667666,0.4174204318185248,0.33154605935666304,0.4232200116160087,0.3058816822504121;
Negative epigenetic regulation of rRNA expression,0.5580015467292053,0.3041785410778355,0.969339437530591,0.3847207861136189,0.3764809604369917,0.6261490231295497,8.435510627044566,0.4815653043880472,0.536884289765251,0.30241267449194814,0.3058816822504121;
RNA Polymerase I Transcription,0.3250327858327181,0.45199084089717,0.36003177662526326,0.5874431926211804,0.33627276072485157,0.3650672982623884,8.421315303316735,0.6292013533408742,0.7782429355668223,0.3109481832046546,0.3058816822504121;
Nonhomologous End-Joining (NHEJ),0.6959881424282498,0.3667015217797265,0.7213539227030125,0.34745656842859673,0.6700667843712858,0.3542943274052089,8.35360961630288,0.352267490683119,0.35355391238807776,0.3109481832046546,0.3058816822504121;
RNA Polymerase I Promoter Clearance,0.33895461643817115,0.501568677588103,0.4285139600766767,0.5325001957863879,0.3918027183993316,0.39430841547958956,8.304035752743616,0.9897043482796474,1.0681008405557673,0.3566887822435721,0.3058816822504121;
Activation of BMF and translocation to mitochondria,0.618211570078509,0.36189234081749233,0.4625334376321326,0.4179753949677151,0.32297793958928395,0.5683890433722195,7.719915686491605,0.41975460648763435,0.3217238872603119,0.30377756914377746,0.3058816822504121;
RUNX1 regulates transcription of genes involved in differentiation of HSCs,0.4416826026365212,0.3508263610994628,0.4322549751498343,0.3854968630694043,0.33140832466933967,0.3508313973814462,7.612803626789818,0.5856301026206966,0.3083030765023187,0.4540611718827999,0.3058816822504121;
Entry of Influenza Virion into Host Cell via Endocytosis,0.378064225064369,0.3363770646607851,0.35645281201837986,0.6396844441883475,0.5053758918905441,0.3508313973814462,6.845779651001943,0.30762701980706253,0.9045344860174249,0.39091888813155207,0.3058816822504121;
Processing of DNA double-strand break ends,4.2203106668852834,0.5698796886264856,0.5396819360893818,2.7120106683136838,0.3472192758278547,2.0301826871262523,6.463906962392844,0.6957826084663753,0.32426094406474487,0.3829311111901347,0.3058816822504121;
G2/M DNA damage checkpoint,4.285827577321098,0.6617160530759545,1.129947338811452,2.478579817509079,0.41229240926373606,2.0456176209887227,5.912973823134498,0.5238886509233606,0.3728343545959842,0.44811482431034744,0.3058816822504121;
Phosphorylation of the APC/C,4.97102262819926,2.057050905066398,0.36657082889685344,4.2409474137233625,0.4829239057523196,1.7753467427019642,5.57354027290931,0.31904744688740305,1.613465439751566,0.3196274963593275,0.3058816822504121;
TCF dependent signaling in response to WNT,0.31140499623217854,0.5131391727266793,0.3322983180309776,0.34552125769421904,0.4146172972667351,0.31776991236841967,5.57354027290931,0.4628527562793292,0.3693665271664583,0.39091888813155207,0.3030467691849685;
HDR through Homologous Recombination (HRR) or Single Strand Annealing (SSA),4.986474147929792,0.9722026967614994,0.35516354224109725,3.970064910361211,0.3119959467823231,2.7347307709443758,5.404577093100158,0.3207891067373377,0.34910353042129927,0.30738279210111424,0.3058816822504121;
APC/C:Cdc20 mediated degradation of Cyclin B,5.391206456480938,2.4014491587271913,0.5017359945597698,4.375603718835916,0.39113834579371415,1.7740468834196925,5.3221892397923325,0.3595677799732618,1.617689245415894,0.3148961138192713,0.3058816822504121;
Homology Directed Repair,5.300245129400749,1.1251268407618977,0.8841879790629011,4.468395893293236,0.3363756870848458,2.9052938277257545,5.179184033010584,0.35082679893314456,0.3061107917419532,0.3109481832046546,0.3058816822504121;
APC-Cdc20 mediated degradation of Nek2A,4.463200542850821,1.8815589255708167,0.7802377786070451,3.5401876181159166,0.32162569628297455,1.7522753557731587,5.033063690810944,0.7214872606359403,0.788004927573652,0.47469881290334454,0.3058816822504121;
DNA Double-Strand Break Repair,4.463200542850821,0.8536663919726355,1.070454754960547,3.5042844838551903,0.3439134979171695,2.9808766599588936,5.033063690810944,0.6307067120683201,0.302360173742951,0.37636770226551464,0.3058816822504121;
MET receptor recycling,0.3023351326496606,1.0325428322193408,0.8517982647455866,1.3882829029635468,0.3274981301462102,0.36661029332342004,4.961980514872893,0.4628527562793292,0.4834775083772459,0.9957966159779494,0.3058816822504121;
Epigenetic regulation of gene expression,0.3183418551275479,0.31445410540840596,0.302486742965228,0.35287359016834924,0.4146172972667351,0.511477330150265,4.7506452245178075,0.35440324608796253,0.4564353693270964,0.4353740121305991,0.3058816822504121;
Activated NTRK2 signals through PI3K,1.9786450395875674,1.6469296834212683,0.4077557145318142,0.39834720327783957,0.3791920767944086,0.44569311077594786,4.745129716552196,0.3094759427026921,0.4183824020347335,0.328039331434427,0.3058816822504121;
PKMTs methylate histone lysines,0.467227049797955,0.3090254582300101,1.0764082393445782,0.339711750805525,0.35573771241937,0.5028146812875487,4.709113443680212,0.3057187886796813,0.39328194195957444,0.44065582267788694,0.3058816822504121;
Deregulated CDK5 triggers multiple neurodegenerative pathways in Alzheimer's disease models,2.8547955688028646,1.7141258107208215,0.3186523149786101,4.273548385985072,0.31351737387980566,1.1440271903015207,4.215672171513385,0.4681429621674421,0.3061329461218883,0.33194577730543684,0.3058816822504121;
Neurodegenerative Diseases,2.8547955688028646,1.7141258107208215,0.3166308670980508,4.273548385985072,0.312768577621854,1.1440271903015207,4.215672171513385,0.4676910181003361,0.3061329461218883,0.3306556298996619,0.3058816822504121;
Synthesis of PG,0.8716519885708844,1.3371730286787165,1.3666897932217905,0.3163170636750133,0.33140832466933967,0.3096785300256161,3.89860503424442,0.6303443794140307,1.846515403629212,1.7359615954624459,0.3058816822504121;
Depolymerisation of the Nuclear Lamina,5.5103769116062775,1.7818542576584766,0.35275308129702004,3.1352336241966814,0.46163953884057446,0.70206723630419,3.89860503424442,0.35971925328583354,1.548245642681925,0.3460910784833522,0.3058816822504121;
Cell junction organization,3.197638878114059,2.0383904428181117,0.33288866926600447,0.3503872330012344,0.5185164443893374,0.6363603198934134,3.8541558072883375,1.0118680386453138,0.36494779765230456,2.7980008285229334,0.3058816822504121;
Protein repair,4.483104557844059,4.638673871238915,0.3186523149786101,1.9519024788992985,0.31139775125619096,0.43075902825616436,3.836861329480875,0.3251934547032587,1.1218450576214711,1.1709531977191223,0.8979013090577435;
Interconversion of nucleotide di- and triphosphates,0.35031899134905103,0.5160538865147885,0.5439930076286128,0.3070450077802019,0.32297793958928395,0.4300466631842503,3.8329287534555547,0.3999878562041873,0.3329607429278685,0.5714564697988486,0.3030467691849685;
Transcriptional regulation by RUNX1,0.6036351212336205,0.4583996963357266,0.3327614819001198,0.3881184602725714,0.37921048227433873,0.45440791578523587,3.8053809353438734,0.42864408325691356,0.3522221105554151,0.33239293645350926,0.3058816822504121;
TP53 Regulates Transcription of Genes Involved in G2 Cell Cycle Arrest,4.444140927527829,1.6376116017644116,0.6503741717742904,4.486182936165595,0.4677023943293453,3.2348137969970816,3.78212015555226,0.30980925894012945,0.6606921149715522,0.33623172585815414,0.3058816822504121;
Mitochondrial protein import,2.1474814612448485,1.2883328945183445,1.1088565736270573,1.084615210247727,0.30985369422832876,0.634492123355756,3.769774042085921,0.3677622666458591,0.34010467491250734,0.5165725457528514,0.3058816822504121;
Mitotic Anaphase,3.788075609137058,1.3135433472284037,1.032525609571466,4.660965815393155,0.7532679976993287,3.966583389673829,3.751167752529202,0.46950761507088173,1.3686749076877267,0.3117369630687721,0.3058816822504121;
Mitotic Metaphase and Anaphase,3.794625258328683,1.3323443163951993,1.0193284028017302,4.710521454381419,0.7576852196375048,3.989941610683478,3.735450209642059,0.5226955554832011,1.3778969952040085,0.30979469541785326,0.3058816822504121;
POLB-Dependent Long Patch Base Excision Repair,4.832904426365584,1.5413360588125733,0.802493326583057,3.616482209827902,0.34456538471876236,0.9884930676166624,3.7149471754984003,0.6303443794140307,0.47281314511628797,0.4540611718827999,0.3030467691849685;
Separation of Sister Chromatids,3.821051059497753,1.3123306771721275,1.0970230461575994,4.724779756982359,0.7460829399514947,4.088714448076953,3.7063293202035528,0.4247022560867204,1.3617613108832036,0.3084605076514881,0.3030467691849685;
G2/M Checkpoints,3.395871417133958,0.8014923610919136,0.6823205052245426,3.608664145972128,0.6231688405270283,3.4803221714587678,3.577426915423097,0.3545295527271077,0.9668183243741935,0.5124302984800859,0.3058816822504121;
Mitotic Spindle Checkpoint,5.133367885982449,1.6469296834212683,0.35583470878974294,5.615690242831487,0.4725673524789271,4.165285200589449,3.5641016950478748,0.7214872606359403,1.2404921252029872,0.4523752385250782,0.3058816822504121;
Sema3A PAK dependent Axon repulsion,5.485495285762694,3.7570290465468044,0.5730967190536839,1.4565173004041339,0.4146172972667351,0.3154827146412667,3.5584212852673027,0.7214872606359403,0.5380488165948838,2.32983204473155,0.3058816822504121;
Tristetraprolin (TTP, ZFP36) binds and destabilizes mRNA,3.9455119654941835,9.83267623203174,1.1088565736270573,4.096391469409593,0.37572915566633974,1.2266820738215025,3.5584212852673027,0.3125493997793474,0.46024504142413253,1.0530759327306038,0.3058816822504121;
M Phase,4.421865726096109,1.2859613470789373,1.1645996582777804,5.016030376317258,0.6797765241920838,4.290527847858179,3.4161690391216846,0.36593959197886095,1.643522912461931,0.30738279210111424,0.3058816822504121;
Telomere C-strand synthesis initiation,4.048949669066338,0.94045423193971,0.4396862978485929,2.629076272493864,0.3401010458333853,1.1035302521089236,3.4157662951876744,0.41975460648763435,0.3115924460534767,0.5714564697988486,0.3058816822504121;
DNA replication initiation,4.048949669066338,0.9418709601982405,0.4159131212520216,2.629076272493864,0.34213827433994565,1.1035302521089236,3.4157662951876744,0.42600919707224844,0.3115924460534767,0.572602207453692,0.3058816822504121;
Signaling by NOTCH,0.40511607004227757,0.3142762591661267,0.5550431915575533,0.35287359016834924,0.30246496029501807,0.33955767216648003,3.41254932107611,0.3348159503392942,0.4881499224650157,0.4121812366547547,0.3058816822504121;
Signaling by Rho GTPases,2.9650636060332687,0.8231798698180065,2.143544166152827,3.8968313881740335,0.7545067537691059,4.165112663699326,3.331575578519357,0.36710932947589353,1.3617613108832036,0.30241267449194814,0.3058816822504121;
RHO GTPase Effectors,3.657550535445228,1.0283274780935037,1.8437272037867236,4.830359990124229,0.7279019710294058,4.460539542243616,3.3016432943686453,0.352267490683119,1.5290916492432036,0.34366498333663376,0.3058816822504121;
Cell Cycle Checkpoints,4.870995076244162,1.3635492747710871,0.3557042064788556,5.238226444283933,0.5705700121496526,4.316479479523637,3.2623472938732307,0.48606186013240477,1.2952038174159926,0.703515987512065,0.3058816822504121;
Resolution of Sister Chromatid Cohesion,4.97102262819926,1.6644464141991977,0.4502915740068935,5.614436511023885,0.5390637741992622,4.170257495204747,3.2143911015734825,0.9221426572870339,1.3778969952040085,0.41912518944327204,0.3058816822504121;
G1/S-Specific Transcription,4.428836373354384,1.178357966478976,0.6214317248794013,5.426176768502208,0.6477998746815469,4.398554149835581,3.2126405205059845,0.6869070635429356,1.042470285322291,0.33443521061762477,0.3058816822504121;
Amplification  of signal from unattached  kinetochores via a MAD2  inhibitory signal,4.988717593215858,1.5314921912779529,0.8393120086878098,5.559740059812881,0.4677023943293453,4.246028912100134,3.2125715709259226,0.4518495329376567,1.2193717037228295,0.37218965236252843,0.3058816822504121;
Amplification of signal from the kinetochores,4.988717593215858,1.5314921912779529,0.8017891949040372,5.559740059812881,0.4677023943293453,4.246028912100134,3.2125715709259226,0.4518495329376567,1.2193717037228295,0.36615546095938395,0.3058816822504121;
MET activates PTPN11,0.3081642843377598,1.2007978621688389,0.3180102748962083,0.40918454326908915,0.30418705243734856,0.3542943274052089,3.1651505444825307,0.30762701980706253,0.3061107917419532,0.4121812366547547,0.3058816822504121;
Cyclin A/B1/B2 associated events during G2/M transition,5.053043201500383,2.3034994562759215,0.3369901152529043,6.154995722638868,0.6278261191361808,3.455836115267905,3.145444924229997,0.5167969904376682,1.5131387942786263,0.3160906252949544,0.3058816822504121;
NRAGE signals death through JNK,1.1117793188086327,0.5324309296314834,0.7060971157697995,0.7188771784227584,0.33671639369305106,0.3591971527530989,3.131790598948675,0.3637629906536139,1.2193717037228295,0.36956882019668214,0.3058816822504121;
YAP1- and WWTR1 (TAZ)-stimulated gene expression,0.5086090191266497,0.9142165648525804,1.1088565736270573,0.49786442742870163,0.4148892332525716,0.3420003235500663,3.1114357414259097,0.5238886509233606,0.4049598252116228,0.47469881290334454,0.3024439670208732;
G0 and Early G1,4.421865726096109,2.0049114338084766,1.1639187855194855,4.544914066206372,0.4549475819776362,3.9580873428343493,3.079001818277911,0.6834181834101111,0.572985278493807,0.8040034233399342,0.3058816822504121;
tRNA processing in the nucleus,3.4487160662741694,1.553934274347136,0.5899768161580835,3.1316088049983044,0.33664443463132226,2.5481696035778856,3.0752466812672874,0.5174152264767676,0.31808512104917774,0.4540611718827999,0.3058816822504121;
RUNX3 regulates YAP1-mediated transcription,0.4029927195800096,0.8826240100075539,0.3254830673281677,0.6830590249119001,0.5352610187418227,1.4913294770057988,3.0648216794725682,0.5174152264767676,0.3329607429278685,0.4523752385250782,0.3058816822504121;
EML4 and NUDC in mitotic spindle formation,4.791558050070914,1.480239217920042,0.33530251087995344,5.614436511023885,0.5705700121496526,4.316479479523637,3.0191155302948687,0.4313030976096779,1.426065400577132,0.3302665829120577,0.3058816822504121;
G2/M DNA replication checkpoint,5.729335600523741,2.0049114338084766,0.47160753149999735,4.875796818678323,0.37572915566633974,1.9053740434844029,2.952526420015095,0.33030236244002353,2.376208045576133,0.41376887048902816,0.3058816822504121;
Signaling by cytosolic FGFR1 fusion mutants,1.6003726115247088,0.4843431191386555,0.3387918290444652,0.5770272568140488,0.39026309562416256,0.33893742591410053,2.9406377539786113,0.5167969904376682,2.3977188328456367,0.7325121903592762,0.3030467691849685;
Cell Cycle,4.966220845174469,1.553934274347136,0.6760373314996082,5.615690242831487,0.5718721379043165,4.434155846068263,2.9224797914028473,0.44203855648039064,1.3617613108832036,0.3811579239158923,0.3058816822504121;
Cell Cycle, Mitotic,4.837668366507382,1.5493947540511843,0.3384666561332321,5.615690242831487,0.6268557198068822,4.434155846068263,2.9041942261817217,0.32587291250103156,1.517975922803317,0.31895786627672174,0.3058816822504121;
Phosphorylation of proteins involved in G1/S transition by active Cyclin E:Cdk2 complexes,4.583588601761948,2.4133597200006895,0.5177252238437636,4.660965815393155,0.41200215293113845,2.4637218446109217,2.871633616348162,0.5238886509233606,0.9045344860174249,0.34854112028784845,0.3058816822504121;
