,BRCA1,TP53,BRCA2,RB1,PIK3CA,GATA3
"Formation of the ternary complex, and subsequently, the 43S complex",3.7668385512897182,0.030779944629159773,0.06078533047326112,0.2612693422198217,-0.0,0.03615529831862534
Mitochondrial translation initiation,3.7028972717988307,-0.0,-0.0,0.19637864043678482,-0.0,1.0488422768112613
Metabolism of RNA,3.0978317703311427,0.16438480908052222,0.10840259296069397,0.5407304581462598,-0.0,0.7755864575353698
Influenza Life Cycle,2.9797324582531486,0.08122954619588989,0.2556515398136244,0.2469322450859737,-0.0,0.6732470175924505
Regulation of expression of SLITs and ROBOs,2.9785333010755357,-0.0,0.21270842433553908,0.2608187363570382,-0.0,0.5935300639364851
Formation of ATP by chemiosmotic coupling,2.92438060744167,0.019864074204559518,-0.0,0.3276482881554156,0.22251849594660278,2.135479405238478
Influenza Infection,2.890620710698076,0.0372625171152205,0.24430438545281924,0.29883233304002566,-0.0,0.49039125939015044
Nonsense-Mediated Decay (NMD),2.8780315833900554,0.0565929061021838,0.21573844871831596,0.2961713330322494,-0.0,0.23650855880869975
Ribosomal scanning and start codon recognition,2.850677155450016,0.015561673256679395,0.06217747053778658,0.24857534956925634,-0.0,0.022882306361179192
Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC),2.7739388917076573,0.05567599469595796,0.24443141972423763,0.32886570434470436,-0.0,0.21215096992657853
Interconversion of nucleotide di- and triphosphates,2.5415292695638554,0.07956256889408872,0.1468649929677951,0.0973421660537006,0.04635416977681903,0.635044701800821
Antigen activates B Cell Receptor (BCR) leading to generation of second messengers,2.506527840948705,-0.0,-0.0,0.10415560510381235,0.07995796485878176,0.004690272315923371
Mitochondrial protein import,2.4138154789007835,0.011435412266970172,-0.0,0.23617234649491262,-0.0,0.19568864015630927
Interleukin-2 family signaling,2.381589104340405,-0.0,0.3705578512764679,0.009081057981773385,0.020191035992809615,0.20153746056400032
Signaling by ROBO receptors,2.367857484631587,0.03938334211461772,0.2348116969175243,0.2593461097954719,-0.0,0.5377855530982151
Translation initiation complex formation,2.330404385339272,0.0162947298950023,0.041961444041967076,0.23667814571283716,-0.0,0.026397128528184773
Complex I biogenesis,2.1353947822765464,0.08227367821357694,-0.0,0.1119940517198454,0.01742544036015184,0.9581311424632942
Metabolism,2.12837251305154,5.0,0.03558449984171916,0.015896091681831342,0.02197302110327302,0.7229500394174841
MET activates PTK2 signaling,1.9817676873551422,-0.0,0.14846194259284679,0.03561365227204229,-0.0,0.23630758733487148
Metabolism of amino acids and derivatives,1.9426982483660917,0.3210523663136693,0.05985900225826472,0.010109836356244377,0.04426609565069052,0.6568494462989439
"Interleukin-3, Interleukin-5 and GM-CSF signaling",1.8942486844390567,-0.0,0.11100824774446881,0.007205654048677192,-0.0,0.013198809949323678
FCGR activation,1.8487437640988782,-0.0,-0.0,0.01643403093409727,0.0014172461716017181,0.005490623221913407
Interleukin-35 Signalling,1.8479864936682946,0.08544752176160525,0.254836493676483,0.2668492935872387,-0.0,0.014828427100525447
HDACs deacetylate histones,1.8375210599901297,-0.0,-0.0,0.11734145235352819,0.3678211325712809,0.17511257719208007
Initial triggering of complement,1.8351413582447749,-0.0,-0.0,0.0020464910237337638,0.02088588036054332,0.015595525921269454
Metabolism of proteins,1.831375098275323,0.9213081731943559,0.006641675941275031,0.007171215405581382,0.009972801237550188,0.9827885725051606
VEGFR2 mediated vascular permeability,1.8189658522819159,-0.0,0.39953833096151153,0.3031161158894022,0.05598340365966902,0.020622150548841468
Interleukin-15 signaling,1.8183579007031203,0.010264425265825865,0.22517655127895506,0.009590896154337383,0.12974247746773382,0.29379610410215745
Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell,1.8133873802734102,-0.0,0.08836457201288689,0.296680498319233,0.1418518201558134,0.02327708255920399
Costimulation by the CD28 family,1.812854176422635,-0.0,0.22600904710072248,0.2476631224336948,0.009051565959558697,0.19139133830543878
DNA methylation,1.8099773107360992,0.018732804289437882,-0.0,0.010052707801910534,0.44723982409324514,0.02187552432798006
RNA Polymerase I Promoter Opening,1.7974575097083607,0.013827505093875012,-0.0,0.009577994199812624,0.44340948077578396,0.020768902028604215
Activated PKN1 stimulates transcription of AR (androgen receptor) regulated genes KLK2 and KLK3,1.7915697312285561,0.08208673637282675,-0.0,0.010178187955324831,1.041666577312547,0.01805929367280948
PRC2 methylates histones and DNA,1.7886724924523125,0.07219866715197149,-0.0,0.010285050452115464,0.4295567277159872,0.011404792497205388
Interleukin-9 signaling,1.7821219235907224,0.01271380579213881,-0.0,0.19704734508832294,0.004054809802883507,0.022492127926860936
CD22 mediated BCR regulation,1.7795291130124429,-0.0,-0.0,0.087041002946331,0.036449735306029074,0.005814665113741864
ERCC6 (CSB) and EHMT2 (G9a) positively regulate rRNA expression,1.7741340811257367,0.015067144971560488,-0.0,0.11783950696284665,0.4485323681482297,0.09625371363680454
Interleukin receptor SHC signaling,1.7705742703595164,-0.0,0.22305124929444597,0.03111401077352397,-0.0,0.019114409102764667
Interleukin-21 signaling,1.7532001742900938,0.008418214529311636,-0.0,0.17533039710427692,-0.0,0.02568695647865814
Signal regulatory protein family interactions,1.752040508762855,-0.0,-0.0,0.03696898839734749,0.01512082086933152,0.0294177501729147
HDMs demethylate histones,1.7447670067532308,0.03531483405674812,-0.0,0.05540266504747074,1.154680957111372,0.07106202415470358
Interleukin-7 signaling,1.6845114536820913,-0.0,0.040176230155636324,0.16966401335222922,0.0070012461802829475,-0.0
Complement cascade,1.654590376404143,0.010703418990804382,-0.0,0.07238283981700408,0.01733849434226425,0.027932067692158828
Protein localization,1.6221914871468723,0.7405985140449467,0.06208366645436525,0.1991754623147899,0.0768537333506567,0.6240021302004699
FCERI mediated Ca+2 mobilization,1.5962592693296382,-0.0,-0.0,0.17652911375128807,0.051956758805090625,0.024767200084042516
Nef and signal transduction,1.5948114003417149,-0.0,0.00012878039760655724,0.07704163444607778,0.07103119121760453,0.025317562085453223
PKMTs methylate histone lysines,1.5924424696552986,0.017371508149806352,-0.0,0.04697039565340395,0.2041536627584118,0.10137306652128719
RUNX1 regulates genes involved in megakaryocyte differentiation and platelet function,1.588822322420473,-0.0,-0.0,0.21034898342858974,0.09738246474179454,0.09512152295653502
Triglyceride catabolism,1.586951785575025,0.35819819752430204,-0.0,0.41910303008089933,-0.0,0.5221374514566196
rRNA modification in the nucleus and cytosol,1.5462821977890127,0.012865072275065798,0.1558872723424839,0.018842845595970527,-0.0,0.2844083180768733
Glycoprotein hormones,1.5033066311951373,-0.0,0.19388698865190382,0.06202026571039729,-0.0,0.24376645370155425
HCMV Early Events,1.4799053608282913,0.08617304041017612,0.00720804939047209,0.11091181127819856,0.37053934303854097,0.027398111050906566
Creation of C4 and C2 activators,1.4517446083011198,-0.0,-0.0,0.003846537302634375,0.029520256308429263,0.005322327700743023
Phosphorylation of CD3 and TCR zeta chains,1.4371860389142985,-0.0,1.3482830088616458,0.10100262434377986,0.013109289237617245,0.03669478272723502
Transcriptional regulation of granulopoiesis,1.4198714623062019,0.081401936703667,-0.0,0.00846902400917367,0.1937413188102669,0.02695131347651666
"Synthesis, secretion, and inactivation of Glucose-dependent Insulinotropic Polypeptide (GIP)",1.4100406014880018,-0.0,0.0007780745481573693,0.048826845909292864,-0.0,0.5394289065658084
Interferon alpha/beta signaling,1.4076919069046103,0.00837699636022424,0.0738925556314157,0.5908165817626698,-0.0,2.857493128620607
Formation of the beta-catenin:TCF transactivating complex,1.3016102557143179,0.06589682685644693,-0.0,0.18470562345150698,0.40904962321643357,0.006076668961207505
Pre-NOTCH Transcription and Translation,1.298803734023955,0.0065169277553176,0.0009247522241551714,0.0862983175214332,0.2805444772083791,0.01705504642081044
Lysosphingolipid and LPA receptors,1.2923181979523413,0.10638738962180402,0.0009784492833816924,0.021100546231385135,-0.0,0.05207217694201119
Signaling by the B Cell Receptor (BCR),1.292223763525932,-0.0,0.08031718098225214,0.21711146481893948,0.015953680740910754,0.20979600687471872
Role of phospholipids in phagocytosis,1.2910641510803864,-0.0,-0.0,0.03523830529902748,0.06369890763623727,0.039696907165762504
Role of LAT2/NTAL/LAB on calcium mobilization,1.289043896734799,-0.0,0.054447003733131695,0.010903383518914591,0.06919747360922018,0.003888574371775408
Generation of second messenger molecules,1.2805727680526908,0.011687064432802307,0.19613212765341193,0.2385095770720307,-0.0,0.22118321849580672
Condensation of Prophase Chromosomes,1.237927040897868,0.08703440653207374,-0.0,0.029110645433850082,0.40478827657938254,0.006247496976887504
SIRT1 negatively regulates rRNA expression,1.2296832298032074,0.0162110000190123,0.003134269671447598,0.00612872114221499,1.12271175103633,0.023022392693723734
Regulation of TP53 Degradation,1.226535672697519,0.005889067492070956,0.19063284053809004,0.22358138062083324,-0.0,0.013145530725777713
Classical antibody-mediated complement activation,1.2259639227355663,-0.0,-0.0,0.00834482385090698,0.16279923351358175,0.038686175930281855
TNF receptor superfamily (TNFSF) members mediating non-canonical NF-kB pathway,1.214928796165203,-0.0,-0.0,0.12643430292022073,0.141712109360455,0.2268618846001071
"Incretin synthesis, secretion, and inactivation",1.1644017886093139,-0.0,0.015558591195917505,0.1703564345501727,-0.0,0.7196716776029347
Zinc influx into cells by the SLC39 gene family,1.1634110173580934,0.016000963112215476,-0.0,0.07188859695776091,-0.0,0.01717002983333842
GAB1 signalosome,1.1357278963177317,-0.0,0.010305661703861832,0.11042495515184714,-0.0,0.18180196571892787
CD28 co-stimulation,1.1246514067340572,-0.0,0.01594383749600293,0.17475391750725353,0.014028169025476272,0.012619386327318056
Interleukin-27 signaling,1.1076238041740507,0.08381730644282077,0.30474762167080893,0.20841674721500114,-0.0,0.01750599579652007
Regulation of signaling by CBL,1.1043542213480981,-0.0,0.14626955167073316,0.10169651113123983,-0.0,0.02823723039492237
TP53 Regulates Metabolic Genes,1.0978317703311429,0.08030889249257644,0.007351091997983847,0.09507433437722727,-0.0,0.9741114030035032
NOTCH2 intracellular domain regulates transcription,1.0882265496289598,-0.0,-0.0,0.13623866847447344,-0.0,0.053566535662416856
Abacavir transport and metabolism,1.0642325777657005,0.12247046773989961,0.22468128296995662,0.05215296575084892,0.09426411689739164,0.1059878184350436
Interleukin-6 signaling,1.0255444907724105,0.3238792997614304,0.22317332382291447,0.011104312837679126,0.0035413727824358085,0.04430018221442634
Transcriptional regulation by small RNAs,1.020497198019813,0.027804016395957754,0.003318007374409708,0.01687899700512356,0.2846949389530173,0.009587397463830125
RA biosynthesis pathway,1.0184954468021692,-0.0,0.03994042618849277,0.059090164901430556,0.014567198804520726,-0.0
GPVI-mediated activation cascade,1.003605834809562,-0.0,0.0007363649667948375,0.0843353689402644,-0.0,0.11428424931491049
Other interleukin signaling,1.0022673963725983,0.005892620088282528,0.0009546681421172138,0.053761199138673936,-0.0,0.02404183469714474
Regulation of TP53 Expression and Degradation,0.9980396872243187,0.010233524088086178,0.19497720009034586,0.17632617156526145,-0.0,0.01593452118257509
Striated Muscle Contraction,0.9963079014772575,-0.0,0.007519945874066979,0.05241048491700804,0.024169840392634694,0.21470666344664813
Interleukin-20 family signaling,0.9917546174093028,0.028829930213499652,0.0035937165310905104,0.30966639912281957,-0.0,0.020334182204160924
IRS activation,0.9902647973899257,-0.0,0.005726251660630158,0.14889245059306613,0.0036794309568170948,-0.0
Citric acid cycle (TCA cycle),0.9740026497551485,0.31292720666883317,-0.0,0.2034908373889965,0.6538065774184144,0.5956531814246275
Phase 1 - inactivation of fast Na+ channels,0.9675066171576636,0.009749102509290335,0.19562408535247752,0.1780584757513854,-0.0,1.5681284534330766e-05
Translocation of ZAP-70 to Immunological synapse,0.9661592563841186,-0.0,0.9634268621042762,0.10286055601716722,-0.0,0.1967785333823979
Scavenging of heme from plasma,0.9657549146964512,-0.0,-0.0,0.030576371800371416,0.12361692483367165,-0.0
CD209 (DC-SIGN) signaling,0.9639790346879876,0.05673859754782384,-0.0,0.2586053742578534,0.0006382516654338498,0.022250024668660943
VEGFA-VEGFR2 Pathway,0.9625299062897439,-0.0,-0.0,0.01623647879568393,-0.0,0.33771015782841984
CD28 dependent Vav1 pathway,0.960131134279847,-0.0,0.016064987551174432,0.037160147471801255,0.10844378548312443,0.005894119081075518
Vasopressin-like receptors,0.9576374046641256,-0.0,0.19709037985492414,0.10364347148458455,0.0031186401070245977,0.010460947935847386
Meiotic synapsis,0.9407405469051934,-0.0,-0.0,0.02336190287056069,0.22753546591096055,0.01254463014591001
The role of Nef in HIV-1 replication and disease pathogenesis,0.9373195030024216,-0.0,-0.0,0.30790497431283237,0.005184047457669435,0.18610245794765162
Regulation of Complement cascade,0.9281415548467151,0.03922826234788772,-0.0,0.0986714538808183,0.021083271449848406,0.025234052300520685
RMTs methylate histone arginines,0.9244103434801295,0.015197056346926023,-0.0,0.05386446810446802,0.27637826738565996,0.01820350128631807
Synthesis of IP3 and IP4 in the cytosol,0.9205973499212787,-0.0,-0.0,0.14941243866441126,-0.0,0.017601917289555274
HCMV Late Events,0.9190826006365367,0.014472036433679955,-0.0,0.049678533333321374,0.3498306832093129,0.02828464313200549
Elevation of cytosolic Ca2+ levels,0.9132852229285247,-0.0,0.0004636588489340206,0.01820977564248098,-0.0,0.022549027985979294
Constitutive Signaling by NOTCH1 t(7;9)(NOTCH1:M1580_K2555) Translocation Mutant,0.9114143106958097,-0.0,0.25495502440087714,0.20777499430867588,-0.0,0.01623489982009338
Interleukin-2 signaling,0.9083981432491752,-0.0,0.10195623183751032,0.016608566028230663,0.01606345014887523,0.06268604408921175
DNA Double Strand Break Response,0.9083941951354676,0.013558577406053872,0.09981351443234678,0.2718814472136373,0.2902200071736415,0.014186355510815225
Activation of C3 and C5,0.9082655769730817,0.01368216993615882,-0.0,0.05271478364893643,-0.0,0.008919517470995291
Regulation of PTEN mRNA translation,0.9010017938578978,0.012589758978058217,-0.0,0.20551104349128083,-0.0,0.015039913614526482
STAT5 Activation,0.8998653467929209,-0.0,-0.0,0.007334079662878504,0.06262140381259716,0.18903818316436394
Cleavage of the damaged purine,0.8980862648602361,-0.0,0.04089371148692787,0.03660849915179489,0.3499485278461739,0.004833940782516824
Oxidative Stress Induced Senescence,0.8953979163398994,0.01574195848413077,0.015953330417395176,0.00768537872657241,0.31508038900833296,0.018516634790375235
HCMV Infection,0.8952914846565084,0.05218312137508293,0.007688680474820476,0.029181584157556468,0.3678039465159735,0.016563002478514874
Signaling by cytosolic FGFR1 fusion mutants,0.8897952336549609,-0.0,0.005449934805177411,0.18217426571253967,-0.0,0.029413472487316693
Fcgamma receptor (FCGR) dependent phagocytosis,0.8815378889745035,-0.0,-0.0,0.06911740478673757,0.002139366406614294,0.5229234377011026
Collagen biosynthesis and modifying enzymes,0.8812320364299383,-0.0,0.0717484321265624,0.06696666098538435,-0.0,0.08702838937622863
"Synthesis, secretion, and inactivation of Glucagon-like Peptide-1 (GLP-1)",0.8800320903840256,0.019507290573686442,0.07026913518538241,0.17580690800962942,0.0008177707103922588,0.6998044555896841
Dectin-2 family,0.8776822176484379,0.03497622453570797,0.39813732368186794,0.26125953841128735,-0.0,0.01394029070446157
Amyloid fiber formation,0.8724185966406909,0.0767037625488811,0.055377970686274106,0.011332839089983913,0.12730230556093922,0.06895530036240224
Pre-NOTCH Expression and Processing,0.8693914357799429,-0.0,0.009146203394747919,0.054623537410184046,0.272185609537058,0.011093560812307285
Estrogen-dependent gene expression,0.8646081504591113,-0.0,0.013993514254007765,0.23939896416806958,0.020797657401469286,0.19743465013732592
Meiotic recombination,0.858315725246541,0.07248184584429308,-0.0,0.017993929526581177,0.25916833901231373,0.014128503490667008
Reproduction,0.8575176884063833,0.08110841021046061,-0.0,0.028525476819324956,0.0616426068728194,0.005676476460872996
DNA Damage/Telomere Stress Induced Senescence,0.857346184111477,0.056224629691090926,-0.0,0.01175002688739164,0.25643537611993733,0.02353946563509815
Recognition and association of DNA glycosylase with site containing an affected purine,0.856936243779762,-0.0,0.05039411952432016,0.051987755999647556,0.3682940933011261,0.027792474377482265
Surfactant metabolism,0.8559458287459719,-0.0,0.005774694671045559,0.09218422819080016,-0.0,0.1417710440273047
B-WICH complex positively regulates rRNA expression,0.8556511463833109,0.018973431213496303,-0.0,0.024904069569433855,0.9627954308724588,0.0210011672891141
Recruitment and ATM-mediated phosphorylation of repair and signaling proteins at DNA double strand breaks,0.855509745852721,0.012387818820086733,0.10836993409227633,0.30775546385521074,0.25027831800582656,0.018469669176693824
Depurination,0.851142596736374,-0.0,0.042285814141351026,0.03865512880010273,0.4288146795740178,0.009107788954691727
Activation of HOX genes during differentiation,0.8508662592309679,0.05571268224907347,0.029743922790594908,0.009964391486567793,0.07704393052850106,0.14396193052833003
tRNA modification in the nucleus and cytosol,0.8488701283237333,0.01784205364752622,0.10872596685652515,0.026382307960277903,-0.0,0.12633783606573737
HDR through MMEJ (alt-NHEJ),0.8466616603988532,-0.0,-0.0,0.019981424961279484,0.00793841623826975,0.00685628120350098
Chromatin modifying enzymes,0.8439607821592405,0.08253020831410589,0.015455189445766555,0.3040970915017534,0.07910926208985049,0.01632143412107505
Packaging Of Telomere Ends,0.8436736813346294,0.008794836890525012,-0.0,0.052438096736187656,0.35218997714154987,0.005608557020052888
Signaling by NOTCH1 t(7;9)(NOTCH1:M1580_K2555) Translocation Mutant,0.8420992582571885,-0.0,0.25547990656644787,0.20123946627674402,-0.0,0.021514547465332858
EPH-ephrin mediated repulsion of cells,0.8261621062835189,0.017189516219985653,-0.0,0.018844627271116996,-0.0,0.14153801084139578
Activated NTRK2 signals through PI3K,0.8251373255728501,-0.0,0.3002247991933522,0.25335724095251383,0.0026807334045023602,0.10267625252680214
Beta defensins,0.8194392739997389,0.04448387159562925,0.04251011261126031,0.06989376008085287,0.00826320052104115,0.003843141585562958
HATs acetylate histones,0.8193828879370035,0.025055332990339487,-0.0,0.13323190892667364,0.07960533045031148,0.02154326823281295
FCERI mediated MAPK activation,0.8171725462540751,-0.0,0.06751895474561148,0.23961424039729726,0.008054716492270311,0.1387897369149127
Competing endogenous RNAs (ceRNAs) regulate PTEN translation,0.8040425971299384,-0.0,-0.0,0.2245186720803447,-0.0,0.028520117429448093
CD28 dependent PI3K/Akt signaling,0.7983689360279814,-0.0,0.07231727219020197,0.18266639705988616,-0.0,0.016294012734878006
Folding of actin by CCT/TriC,0.7940924006842113,0.07775284118330363,0.05269036973749557,0.02975360646471871,-0.0,0.94324151023224
PD-1 signaling,0.7908055361977868,-0.0,1.1868184001349136,0.057592977791027226,0.0002644807670829859,0.17339616364925337
"Base-Excision Repair, AP Site Formation",0.7907049752988313,0.005726019225813011,0.03680090718003108,0.03498127008167013,0.29108668874417687,0.006715046103573313
Signaling by VEGF,0.7896927144752002,0.0075282425778527675,-0.0,0.05254378303372498,-0.0,0.48995442515350723
Collagen formation,0.767417996981952,-0.0,0.0414511577292939,0.09796310599111747,-0.0,0.5959966775721394
Recognition and association of DNA glycosylase with site containing an affected pyrimidine,0.76485109755663,0.008410253387705048,0.009844330134160455,0.05210881282591929,0.2867295698729115,0.018101779750844652
tRNA Aminoacylation,0.7386486936176557,0.08132192627792814,0.04542313780840569,0.2740672316442535,0.009263016889083672,0.0031185673074200495
RUNX2 regulates osteoblast differentiation,0.7334395426321383,0.04709964216515173,0.07362401518767503,0.03306377343355621,-0.0,0.14008248609292576
Signaling by Erythropoietin,0.7316493602497225,-0.0,-0.0,0.09154216558430432,-0.0,0.016831482755549822
"POU5F1 (OCT4), SOX2, NANOG activate genes related to proliferation",0.7241533416995456,0.06630699573529598,-0.0,0.06665713004248032,0.39764361399435183,0.02321643604514585
RUNX2 regulates genes involved in differentiation of myeloid cells,0.7228835649148871,-0.0,0.11819362471607787,0.09233241785787709,-0.0,0.6242364606271928
Activation of anterior HOX genes in hindbrain development during early embryogenesis,0.7133310420199117,0.04684253756025001,0.017929762652277935,0.006576131928293811,0.0790957680945926,0.1891091109215462
Regulation of RUNX1 Expression and Activity,0.6967712923353113,-0.0,-0.0,0.1290493685125149,-0.0,-0.0
Transcriptional regulation by RUNX2,0.6741116236069394,-0.0,-0.0,0.03370731994133561,0.0021814881409561076,0.9185396215792911
Collagen chain trimerization,0.6738156292650784,-0.0,0.2703252774891964,0.007814302344171277,-0.0,0.05756938947120555
MET promotes cell motility,0.6732767937244297,-0.0,0.0193169882385249,0.032590486332061325,0.0029064782261499864,0.16882405453336125
Triglyceride metabolism,0.6730353256737828,0.6083505346068043,-0.0,0.5541302829662206,-0.0,0.505767141626708
Zinc transporters,0.6725693406183338,0.017765969501723728,-0.0,0.06166297406200373,0.05845203391669238,0.038780986457976785
Class I peroxisomal membrane protein import,0.6708795533450106,0.2957681055365468,0.16022435281262554,0.19066942921744037,0.060544140316599666,0.26831816536371605
Axon guidance,0.6683471147775559,0.16193528530561527,0.10725224005075899,0.306279187204593,-0.0,0.500640847942379
Nef Mediated CD4 Down-regulation,0.6658400208536559,-0.0,-0.0,0.09159427702723483,0.14345038495897966,0.1588334454709986
Formation of TC-NER Pre-Incision Complex,0.662366204616598,-0.0,0.11071580891990877,0.040895280959214506,-0.0,1.7894822640579737
Positive epigenetic regulation of rRNA expression,0.6579671464276635,0.013716213817768896,-0.0,0.07753334855904154,0.42471832011611016,0.024277850864508028
Signaling by Retinoic Acid,0.6494099214540412,0.04002094524169638,0.04247750003056249,0.09040313585366808,0.015025059105200245,0.21457595986405276
"Defective AVP does not bind AVPR1A,B and causes neurohypophyseal diabetes insipidus (NDI)",0.6471722565408072,-0.0,-0.0,0.09454683280820575,0.004446242136082031,0.08386612924226867
Ephrin signaling,0.6450984936849258,-0.0,0.01952899694571968,0.0912250540127778,0.02855522725631482,0.07740360904709748
Meiosis,0.6422930925755348,0.07746051508326945,-0.0,0.028227081744751317,0.17360594340459104,0.006192289465709832
Regulation of actin dynamics for phagocytic cup formation,0.6390367827940303,-0.0,-0.0,0.07657398131109731,-0.0,0.4269228870546392
Defensins,0.6381375254474755,0.016180491441571746,0.07881022088381036,0.037696474023836864,0.011926255449579828,0.010067133351458018
DAP12 interactions,0.6371699278471177,-0.0,0.14895650422165593,0.1495826677789928,0.0015214905723987318,0.010835875574243065
Cholesterol biosynthesis via lathosterol,0.6364257090244317,-0.0,0.11432195796835001,0.048847532259976206,-0.0,-0.0
RHO GTPases activate PKNs,0.6352693348909701,0.10360837835085755,-0.0,0.0316394193033432,1.0775150022990727,0.30006821073546686
Chromatin organization,0.6340636167180821,0.0777038116314583,0.016482367850424624,0.3202424465660093,0.036099862473070427,0.034002264722545396
Depyrimidination,0.6334010773342049,0.0016345857781221234,0.008651912338371764,0.030914782789619896,0.2875564030701421,0.014018542834351952
LDL clearance,0.6330069210688467,0.01586539489607122,0.07219063980905437,0.053614322268951166,-0.0,0.027678849130589968
Chemokine receptors bind chemokines,0.6316757326637481,0.009612728434238153,1.5386147070319371,0.15509084870075232,-0.0,-0.0
APC truncation mutants have impaired AXIN binding,0.6313716601745045,-0.0,-0.0,0.24674693773511877,-0.0,0.00895611680393758
Senescence-Associated Secretory Phenotype (SASP),0.630542342969164,0.011950293335582856,0.053127061058460594,0.09614057758476444,0.18630315187762211,0.40254773850221914
Organic cation transport,0.6255604501433392,0.04354000042744699,0.000993782160164006,0.25126057101983057,0.012708449470877776,0.022885446642862513
Regulation of gene expression in early pancreatic precursor cells,0.6132024003979443,0.007701754291235789,0.8462574647508887,0.006428783435389739,0.00741063232737109,-0.0
ESR-mediated signaling,0.6124978701968292,-0.0,0.02307642318199347,0.20693521016871314,0.036601465254069314,0.27215654511802223
Signaling by MST1,0.6106534538955175,0.08045729739960535,0.2541553057743098,0.24276722654632046,0.001985025123103533,-0.0
Sulfur amino acid metabolism,0.5953620849755201,0.015316010038845038,0.04278326280710149,0.03574986348935366,0.0795766849575517,-0.0
Butyrophilin (BTN) family interactions,0.593663612446052,0.015554843601214325,0.058558017779832716,0.17880456013315502,0.07000132006636521,0.006227236798812906
Deposition of new CENPA-containing nucleosomes at the centromere,0.5832838223184287,-0.0,-0.0,0.03455781652621473,0.28462403635646805,0.012867331973959242
Interferon Signaling,0.5829460742443646,0.08845799431131084,0.3417267291177593,0.5748477799623305,0.005834677930523742,0.2455928825452635
