,ER Status qvalues,PR Status qvalues,HER2 Status qvalues,Triple Neg qvalues,ER-/PR-/HER2+ qvalues
Calmodulin induced events,166.45262542876387,83.59325652784439,11.034863568154783,137.05526165807896,17.21217325755882
Cardiac conduction,166.4026700185706,71.7052395411364,16.370975100261838,135.12833171852617,18.36374753243316
ABC transporters in lipid homeostasis,166.01227901580913,72.65215145244191,25.54647920818283,113.30308571155827,31.48421892801543
Post NMDA receptor activation events,161.4827656126498,105.22620481757467,26.53363092383119,119.60689564575198,24.213526008181223
Activation of NMDA receptors and postsynaptic events,161.2500909041007,102.9108591230393,27.378653435753844,118.71991606922923,24.697308012388152
Intraflagellar transport,159.00183960500058,102.9108591230393,16.08843326900602,127.02730921254562,18.904108970109654
Fatty acid metabolism,156.41167336319106,88.1411374541497,15.200884302387518,121.32648391288248,20.934591324544346
Signaling by ERBB4,155.15921521972774,73.0526098893734,11.903262753061833,117.90134250701072,20.13221906889416
"Transport of bile salts and organic acids, metal ions and amine compounds",154.3247728667264,59.33029282483628,8.821208591493072,130.8165884879276,14.436792941015476
MECP2 regulates neuronal receptors and channels,151.6788050131875,65.61753704893717,22.02729299478112,105.79509423590783,29.296843006724636
GAB1 signalosome,151.3709623081342,98.73706149120795,18.29901728791647,110.05012564994948,25.882912943064767
BH3-only proteins associate with and inactivate anti-apoptotic BCL-2 members,151.28965492289504,84.34934692135711,42.63156205899187,81.08693126639884,48.319614343766226
FBXW7 Mutants and NOTCH1 in Cancer,150.4666712130979,62.15173230152904,11.135994283879203,118.39679318373766,21.092803465998717
Loss of Function of FBXW7 in Cancer and NOTCH1 Signaling,150.4666712130979,62.15173230152904,11.135994283879203,118.39679318373766,21.092803465998717
Purine catabolism,146.57984078409677,71.27296314535202,27.130728438539048,107.55814859353823,24.863526240459755
Sphingolipid metabolism,146.49645090178052,55.13354487062159,4.2034776113822465,134.31627651836408,8.712260238692068
Ubiquinol biosynthesis,145.41858522751468,77.54786866661664,26.08175919529925,103.10509750831143,27.067593884890584
alpha-linolenic (omega3) and linoleic (omega6) acid metabolism,144.26901226203682,97.53638595254034,30.228083085931726,100.33428349145748,30.845385852693408
alpha-linolenic acid (ALA) metabolism,144.26901226203682,97.53638595254034,30.228083085931726,100.33428349145748,30.845385852693408
Keratinization,143.03306147243347,41.39456692847,11.152858801736336,107.7588347922406,20.385488660826795
Phase 4 - resting membrane potential,142.813310627463,75.52974637115885,18.142475042596516,107.65339458434958,20.691210617915786
Repression of WNT target genes,142.57624756077462,44.342863345190715,6.038727175571176,115.66217702961039,13.884843806446032
Negative regulation of MET activity,142.560103347765,94.85659951833522,10.083188525209284,123.51420776296251,12.54965098548936
Formation of the cornified envelope,141.95023555267585,38.67911302520631,11.356188082082953,105.3216097054186,21.028423135950447
Basigin interactions,138.12538656616456,70.67326574042455,23.42054988874303,102.89207649720981,23.828434881002995
"Biosynthesis of the N-glycan precursor (dolichol lipid-linked oligosaccharide, LLO) and transfer to a nascent protein",137.785844195432,59.45393691904533,4.75365279395506,127.85919036585479,8.777563846924716
Acyl chain remodelling of PE,137.77425284316632,68.19124828273883,3.129873907535429,116.68026274513035,12.742503378476792
Stimuli-sensing channels,137.56421144164025,57.80305083853835,6.779150658114004,119.39959292118813,11.212808061769406
Acyl chain remodelling of PC,137.13531831866374,66.3873959985274,3.3556244841706815,114.97484004441459,13.572777158938758
Metabolism of vitamins and cofactors,136.8787371891361,68.71312335045894,17.889532372609338,101.56694708267146,19.720578123565293
Tryptophan catabolism,136.5160723152897,85.42534377022508,47.39902314475045,75.72264009203451,45.59262317654566
Growth hormone receptor signaling,134.6609369743294,70.63745267482058,13.398747597137554,107.26798412605973,17.209793301646236
Carboxyterminal post-translational modifications of tubulin,133.96764289573332,81.25365015010262,20.926994862328694,100.64204972775693,19.473208230151556
Synthesis of substrates in N-glycan biosythesis,133.10161550620126,52.436438858725026,3.1472260171385797,128.0640966830465,6.645080850493624
Nucleotide salvage,131.98555412899995,85.74611012312752,25.321721126582947,97.7782971533238,23.407245294803683
Regulation of KIT signaling,131.3942171379484,58.46402397234158,7.022555343418087,108.05101457930164,13.251069560013246
Defective ABCC8 can cause hypoglycemias and hyperglycemias,131.34546770587392,63.67818153591196,8.417294475445727,106.26962748056248,14.768392156548147
Antimicrobial peptides,130.27236921693796,66.67199565994488,22.60794706128788,79.69164691253154,31.800888235150524
Organic cation transport,129.44880160984226,50.98857378654035,15.200884302387518,102.36770417529428,14.835407337449357
Purine salvage,129.14335350177288,90.51166349464076,20.524554049312748,95.82217908734992,22.690011085593778
Iron uptake and transport,129.07626178159663,54.90765684952599,16.343108465885763,90.8248958003919,27.822131560302324
Glycosphingolipid metabolism,128.2922720064066,46.448021959182825,3.905786198466403,119.39959292118813,7.64645921083926
Inositol phosphate metabolism,127.58728532026261,57.72679720701859,4.502325357211347,106.47804493444626,13.311760132138708
The NLRP1 inflammasome,127.58645448331919,49.651886960789895,13.162214468188495,98.53601775539232,17.201340344098558
Neurotransmitter clearance,127.51170553449212,69.68655634665272,18.726317154685688,92.44065213998395,21.668741967863898
Vitamin C (ascorbate) metabolism,127.34203972139994,74.25026498988643,2.9917846796538416,120.24469658885675,7.137186261284728
"PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling",127.33037299663118,64.54383081509243,9.704744093041327,101.1990125176039,15.097486973732535
Metabolism of nucleotides,127.2827009722844,73.85344587211662,21.240816961331795,99.14960671636658,17.803162866562126
BBSome-mediated cargo-targeting to cilium,126.71373595545018,75.35482820109245,21.359751980341596,89.87165505935431,21.73670504723723
Hydroxycarboxylic acid-binding receptors,126.58340365115485,44.19616580540261,15.583638286433377,97.95357134591623,19.33175353062262
Elevation of cytosolic Ca2+ levels,125.7782813589619,62.49973698514082,23.425409068009664,89.01752730607102,24.49086838393516
Synthesis of very long-chain fatty acyl-CoAs,125.41057537090667,40.32561075611121,6.807083961890797,102.94839785239456,15.16597185977607
Organic cation/anion/zwitterion transport,124.2654405427638,48.892564195011055,13.944260606885415,99.30917859553225,14.07932751587431
Neuronal System,124.15312391073223,54.03533695315531,7.546546991380282,104.3676531984934,11.124434627118925
EGFR interacts with phospholipase C-gamma,123.67623127996409,65.86940933994299,13.028697665032842,89.31154459758271,21.494213382484595
RUNX1 regulates transcription of genes involved in WNT signaling,123.32173540456652,63.02177360709018,17.36693290060818,75.47443986730924,30.845385852693408
Acyl chain remodelling of PG,123.08251718056468,52.46094313129278,1.9214825721848188,107.35102501264888,10.60157414657879
Amino acids regulate mTORC1,122.84346849321987,55.403116923307344,14.728512271654273,91.95980843659144,22.823213685075608
Negative regulation of the PI3K/AKT network,122.70044610149087,60.88116709310511,8.43823482598595,99.52999927870817,13.280141180862596
Release of Hh-Np from the secreting cell,122.68899071254724,68.58015065828401,17.464835054464608,98.01142703418232,13.505979490560144
Nucleobase catabolism,122.63893952525224,58.82384418685216,18.31996824157654,93.09089121501191,17.36658335074843
Linoleic acid (LA) metabolism,122.5268388584997,76.38202879043511,28.15624759720063,82.39169542449109,29.504674067650775
Prolactin receptor signaling,122.43538336248,51.588020492136295,6.740221736797024,105.452309441328,12.518404393511014
Synthesis of PC,121.812366809757,54.31206477558037,2.633273210654562,116.4838187995823,6.062286442622341
Sialic acid metabolism,121.03776849257837,41.22046336401481,1.794194769345776,120.68668887151479,4.753480626162118
Beta-oxidation of very long chain fatty acids,120.96818431559755,90.22560175735477,9.418907163728564,95.86110244307298,16.21200088522739
Transmission across Chemical Synapses,120.8892359265195,59.01966953242222,9.418663908991158,100.6356038416316,11.797834542780823
Signaling by Overexpressed Wild-Type EGFR in Cancer,120.79092263498492,64.43827099702098,8.395563062012815,91.45371945962245,18.5026655594859
Inhibition of Signaling by Overexpressed EGFR,120.79092263498492,64.43827099702098,8.395563062012815,91.45371945962245,18.5026655594859
Interleukin-37 signaling,120.40354763662278,51.65710547986903,6.779126556715353,100.58146549846248,11.315170308828359
Acyl chain remodelling of PS,119.36706333055227,54.652791009033756,1.7175784053939036,107.92192245531321,8.33610752851985
CLEC7A (Dectin-1) induces NFAT activation,119.31342378164571,64.84145012925656,23.25979113563139,83.11614815438274,25.009587306454097
Metabolism of folate and pterines,119.05787245850642,65.02098085897674,30.58345458759317,78.46300911613407,29.205879099961546
RAB geranylgeranylation,118.69901844511662,53.689444741242326,4.697193648959763,111.19674129382774,6.404495206929048
Peroxisomal lipid metabolism,118.31483250579672,80.48603523305422,10.58569779004538,99.68483979703373,12.341949338610167
Oncogene Induced Senescence,118.25941118212603,70.41118502949477,15.546288108372769,88.23015944709412,20.309988949079955
Ephrin signaling,117.2587020159849,50.13403213207764,4.9982801853418986,86.66573249149474,14.429609183036833
Cytochrome P450 - arranged by substrate type,116.31894369641059,70.13051645515546,4.3415726367918435,101.9864416980558,8.847204739845516
Amine Oxidase reactions,116.20445112341795,47.91229673178567,22.119049632993725,74.83125869111961,28.456686155455497
Manipulation of host energy metabolism,115.4529279315075,51.58321655071134,31.473778123974974,70.83927804421876,30.572905234759336
Activation of C3 and C5,115.32786366492381,82.49224607487018,12.209552500497525,90.4017022649689,17.823585614217762
Phase I - Functionalization of compounds,114.34682429106533,62.03161591893361,6.266552700089216,92.54751686119327,11.896589594803949
Visual phototransduction,113.74506944667502,76.6702768774341,35.701463290976264,66.76240507916664,33.13151154935562
Signaling by Insulin receptor,113.19450808368606,51.662917635346574,17.34538277483295,77.56285531661375,26.631323475271124
RUNX3 regulates WNT signaling,112.26838908880474,37.73322277428482,1.2846301493523098,105.4803299998851,4.8312909254379175
Evasion of Oncogene Induced Senescence Due to Defective p16INK4A binding to CDK4 and CDK6,112.17897757557553,52.11681511738166,3.5969503772222957,107.87448074238691,5.726385259199029
Evasion of Oxidative Stress Induced Senescence Due to p16INK4A Defects,112.17897757557553,52.11681511738166,3.5969503772222957,107.87448074238691,5.726385259199029
Diseases of Cellular Senescence,112.17897757557553,52.11681511738166,3.5969503772222957,107.87448074238691,5.726385259199029
Evasion of Oncogene Induced Senescence Due to p16INK4A Defects,112.17897757557553,52.11681511738166,3.5969503772222957,107.87448074238691,5.726385259199029
Evasion of Oxidative Stress Induced Senescence Due to Defective p16INK4A binding to CDK4 and CDK6,112.17897757557553,52.11681511738166,3.5969503772222957,107.87448074238691,5.726385259199029
Enzymatic degradation of dopamine by COMT,112.16614379708454,60.740051319736736,14.803713630429447,90.02009648462881,13.172339875589042
Dopamine clearance from the synaptic cleft,112.16614379708454,60.740051319736736,14.803713630429447,90.02009648462881,13.172339875589042
Regulation of RUNX1 Expression and Activity,111.38189026059086,61.68490423989446,5.918083021079261,89.58535509096697,13.62011865874271
Metabolism of lipids,110.99046652543858,44.93594244440245,2.6882504725749192,104.2535599738995,5.3909800810869495
RET signaling,110.1124059892203,52.94344782527751,0.4522687967427661,118.95675737859521,2.1242426108664016
RHO GTPases Activate Rhotekin and Rhophilins,109.78981975610655,29.78648715275483,0.6173071945687245,115.94795560454186,2.530580411988668
Microtubule-dependent trafficking of connexons from Golgi to the plasma membrane,109.45703814539841,90.74596882162652,21.55136933360276,79.3423852792342,18.86734917381675
Constitutive Signaling by Aberrant PI3K in Cancer,108.76892046664396,57.816763628966264,13.796548522162174,77.01535669275184,18.36374753243316
SLC transporter disorders,108.65852731676708,51.662917635346574,11.811187688269248,91.69596136588575,10.70270419125974
Diseases associated with glycosylation precursor biosynthesis,108.06720180844648,35.22953178665245,1.1601865921367047,109.9658062964461,3.7971559926882628
ROS and RNS production in phagocytes,107.74224891316165,51.24769956565592,12.895306086403016,80.47526109776283,20.320963088977575
PI3K/AKT Signaling in Cancer,105.94638028504863,54.38006511716855,12.063895943056483,77.55604266332107,15.65538788189375
Signaling by SCF-KIT,105.45826601476823,48.199540784571894,5.0581508043550745,89.87616019288512,8.916884958088978
NOD1/2 Signaling Pathway,105.45826601476823,39.997929716808564,7.999938055035588,83.33197738755699,12.130194800926194
Cellular hexose transport,105.21634018537681,49.4739421974829,11.825245378469187,88.12797518123132,13.01896247660482
ATP sensitive Potassium channels,104.99812949477409,56.460455534972716,6.945740487313858,80.9054861728882,13.214075241755744
HHAT G278V abrogates palmitoylation of Hh-Np,104.91382803069213,49.4382814042437,5.235238840014929,86.1653292978882,10.73897266553608
JNK (c-Jun kinases) phosphorylation and  activation mediated by activated human TAK1,104.5788007291927,55.4639695986098,8.24613454483231,86.94491336913083,11.63159355044482
Signaling by ERBB2,104.38891130918559,35.00046940367502,1.7188447259131903,99.82294701334534,4.565435701887629
Metabolism of steroid hormones,104.1983088658221,65.0513593317879,2.698632379506551,89.37316100120819,8.22086288482519
Netrin-1 signaling,104.11424232403348,53.69054517363709,8.95835773443657,85.8119782438136,10.60972240930107
"Nucleotide-binding domain, leucine rich repeat containing receptor (NLR) signaling pathways",104.0275928728152,41.527384328361755,8.95776986098025,80.02305961011945,13.804856470454643
Glycerophospholipid biosynthesis,103.72843247375816,33.15810750720853,0.3337283669927169,107.88938555688428,2.4871793900615917
Defective NEU1 causes sialidosis,103.63845067023317,32.16456056319172,1.0769549335612723,106.09699096768752,3.495802949904097
Interconversion of polyamines,103.17785532790168,39.99274492210292,10.647022787929387,65.3828635107035,24.067403829258424
Transport of small molecules,103.02524910998935,42.70395211024616,7.024593168584208,91.18200542652619,7.592536670020912
Glucose metabolism,102.98368903523524,50.30347049278575,17.152422299106743,79.04828917086179,13.870079217654544
Transport of connexons to the plasma membrane,102.86557747542123,79.85950384000537,20.257291562414924,76.57583819488394,16.157877870809386
PTK6 Regulates Cell Cycle,102.85065779533724,44.78600604048606,10.833743371750641,81.5770384645002,11.636547306218416
Activation of PPARGC1A (PGC-1alpha) by phosphorylation,102.56338299644449,48.089002174972016,3.4794328327619173,84.7502222926271,11.974662767496321
The activation of arylsulfatases,102.29964505110917,48.199540784571894,13.586782069068967,80.80193216784356,12.134698859911072
RHO GTPases Activate NADPH Oxidases,102.28299473720027,52.11681511738166,15.595219557168159,69.49386799402507,18.695143520175044
Caspase activation via Dependence Receptors in the absence of ligand,101.36865989990912,65.90740252501381,29.048023142838716,69.6994836405149,21.73814664548321
Phospholipid metabolism,101.36865989990912,32.015680894789966,0.34436312863507024,104.9525572312838,2.3915906888282796
Signaling by EGFR,101.19507463502853,46.76669456901916,4.646982155408105,88.34261680632804,7.255554802631907
N-glycan antennae elongation in the medial/trans-Golgi,99.50063752566516,63.46468824910002,24.400878265208622,62.42938049596648,26.81963367892742
Androgen biosynthesis,99.42244601665554,28.452809219762244,15.222617599712645,68.81918789214441,20.76801104165021
p75NTR signals via NF-kB,99.2403771309987,43.86994647118713,5.8177335037486,82.54284953242707,10.80048927868085
Miscellaneous transport and binding events,99.1386216607534,53.8430650138431,5.422607281354744,93.21524504757294,5.243804047162374
Aflatoxin activation and detoxification,99.0951136680566,53.791328959227606,8.554003740927023,88.32680209263752,7.7885641135651325
Reactions specific to the complex N-glycan synthesis pathway,98.9900257328424,49.115710837486375,21.98157565444749,55.79086573507004,33.392806584556915
Biological oxidations,98.94567240923313,48.66933264781426,6.2796846640677595,85.8369566125304,7.672492897786212
Neurotransmitter receptors and postsynaptic signal transmission,98.86591240521003,52.828524050430225,10.085831303835901,79.51120024988673,11.532385376473286
Endogenous sterols,98.14109624563743,59.393807230194206,2.0717379987733033,89.75749559026082,5.805718801125423
Metal sequestration by antimicrobial proteins,97.99282731299992,44.399335513294986,28.996196940941182,51.67927465016542,33.14733614931761
NOSTRIN mediated eNOS trafficking,97.70386220557823,72.22227619134422,17.246998739806532,68.69199077401257,20.934591324544346
RHO GTPase Effectors,96.91405352108131,59.120600427794834,21.976523789883107,73.83021983235905,15.357977393964184
MAP3K8 (TPL2)-dependent MAPK1/3 activation,96.6974991726169,47.3576408051685,11.246456101169743,74.40803755122766,15.532649245387674
Gastrin-CREB signalling pathway via PKC and MAPK,95.85866347880692,36.66645986913688,2.423143530504997,87.81543010775631,5.939150071669783
p75NTR recruits signalling complexes,95.71147345673165,41.1062791853505,5.79190459500591,76.84830162700257,12.623879368100694
Gap junction assembly,95.71147345673165,67.2609121311564,15.988064446414812,76.0366078595122,11.873637173110781
Ion transport by P-type ATPases,95.44985609407733,33.73204745131029,4.267677392384703,80.98685493755512,8.353420648041707
Gluconeogenesis,94.59172818043784,47.11632955374827,21.57745418875892,67.82303980827398,15.58810510683575
Calcitonin-like ligand receptors,94.56718658669101,48.40617275702859,23.25979113563139,66.78539194651019,18.573314509295454
CDC6 association with the ORC:origin complex,94.47919569615458,61.0418272603848,28.067190235893545,59.97902201415367,24.47813564079752
Glycolysis,94.44146183862448,48.98552041483962,16.903046069647683,73.19576873199316,12.878041941390197
Signal attenuation,94.35926415564485,45.349814689848856,8.087758978414962,73.15253368399766,13.660544902324023
Glutamate Neurotransmitter Release Cycle,93.30131090334493,39.78318820031913,21.493101585368105,67.99580088722252,16.79927244011451
Metabolic disorders of biological oxidation enzymes,92.94162857382014,60.42221843975712,0.9141675208322183,89.89562781992306,3.839983985490705
Metabolism of cofactors,92.8829298599295,50.20018643401404,24.78250626829345,59.74717737510279,21.16098284799768
HS-GAG biosynthesis,92.72629312395145,29.61088218900675,14.995198409165011,69.19129326482587,15.365702106767639
Cell-Cell communication,92.71169071730378,32.23858468567268,3.2270794437777597,77.2877032870565,8.313100998285817
HS-GAG degradation,92.22775427236095,32.61116618515041,15.451585823186665,65.93457760933137,16.388236038673117
Signaling by Rho GTPases,92.18794677523749,56.064110652578286,19.519592360743747,72.10664468493997,13.21804363581538
Phosphate bond hydrolysis by NUDT proteins,92.1725378411324,41.11242177537063,24.219656712376516,63.51460185921085,19.638850056633725
RHO GTPases Activate Formins,91.5756314498642,57.39886999794609,21.5677982368666,69.01536866398892,15.908007326663943
Diseases of metabolism,90.98713167954625,51.95116170234346,2.4287070072008428,84.6589760133396,4.806004588863914
Interleukin-12 family signaling,90.9217002103252,51.422820608810795,8.90384490108001,73.93826469314806,10.40520269477225
Factors involved in megakaryocyte development and platelet production,90.10031031672611,59.585389605534544,23.217035234133885,65.60344652216074,17.13783983399025
Mitotic G2-G2/M phases,89.64809648222855,52.57818940418053,24.697932308272673,63.7100696603971,17.24039501221972
Signaling by Interleukins,89.38916848078553,45.49375956451209,6.94140910337792,75.34490354777076,8.509407004324702
DCC mediated attractive signaling,88.82611370309982,45.1155014391334,12.463835735346285,65.9261036875204,13.481778932088414
Sphingolipid de novo biosynthesis,88.79815240144664,36.74179188094564,3.231128310531847,74.3219398573904,6.773210817844855
Ovarian tumor domain proteases,88.64968955801818,48.24254359207388,14.236149086118967,66.23837761836467,16.685078726413927
Erythropoietin activates RAS,88.24886627496346,40.455333566414126,2.423143530504997,79.23352602301337,5.875383326549776
Phenylalanine and tyrosine metabolism,88.22733256142878,49.920457774976526,4.9606996953558875,86.1655386974715,4.405731982434786
G2 Phase,88.04831732330778,43.245217109798595,15.483019050522495,68.44235002562966,12.637553954802364
Platelet calcium homeostasis,87.94731924619151,39.15975934991186,10.947787179311312,71.73548550678316,12.582368650990139
Activation of SMO,87.71699103174284,22.03229373910849,1.3077279503991008,84.21458133770732,3.557464877703465
Class I peroxisomal membrane protein import,87.30955366759213,48.774318189118844,17.616500027786124,51.94888660184216,23.716110480364442
Pentose phosphate pathway,87.22557197627783,28.544888195463756,5.839687164517375,80.54937046851596,6.31883842575201
Estrogen biosynthesis,86.83190210474416,27.875195731816042,25.754572276204176,38.14988372849239,37.85002605830238
Phenylalanine metabolism,86.56754740031609,48.69927956088704,16.68653817939579,65.0721480473097,13.84670328002657
Interleukin-12 signaling,86.53747934408426,44.853898083754245,9.353973214238579,71.06677201291069,9.403989230446934
Cytosolic tRNA aminoacylation,86.30425000019022,51.662917635346574,20.645167009706743,57.34246120973104,23.383222711436197
"Cell Cycle, Mitotic",85.79021164331061,54.895990553185925,21.57745418875892,63.44958323399029,15.195821941449354
Gene and protein expression by JAK-STAT signaling after Interleukin-12 stimulation,85.47181867216642,55.1813771815584,16.46273646412853,64.71369860014426,12.972907938166177
Immune System,85.37419692817737,47.24670393778072,9.475849862421917,67.56967486139786,10.713251833615292
G alpha (i) signalling events,85.19529067350747,47.479971914955094,9.449283249810831,66.02481264082775,11.482158159949659
Glucocorticoid biosynthesis,84.75161718610633,58.28683328313347,1.1700638873504443,78.86588900669472,4.552993342887458
Assembly and cell surface presentation of NMDA receptors,84.45616178009689,57.505879849452185,24.016693925596574,57.04931176568708,17.514882932642006
Mitotic Prometaphase,84.36026360799391,53.497165432344055,21.060360231377803,62.03283707675437,15.812383162913198
Phase 0 - rapid depolarisation,84.31106966566152,40.35289828110785,23.46948590162764,60.7829906484236,18.586614134713425
G2/M Transition,84.2370025754778,48.70637821359367,22.49944818019261,61.04789397507816,15.164179599840333
The phototransduction cascade,84.16140545049777,30.802854081815884,5.406245046661987,72.1932217959561,6.724488683829702
Erythropoietin activates Phospholipase C gamma (PLCG),84.13710190650207,37.12002304286245,0.8182872979041377,83.9595989754883,2.8997884047433793
Synthesis of IP3 and IP4 in the cytosol,84.04444911660697,38.011585246806916,3.8808437866085215,67.94134541392313,9.85059538100645
Innate Immune System,84.02169693810791,44.07475457815312,8.872598195954025,67.95148676282192,9.462278850993771
EML4 and NUDC in mitotic spindle formation,83.59732792759705,53.37213922945511,20.683647985063693,62.939283024303236,14.756190221173082
Acetylation,83.50959696227804,64.3766319480085,9.557468467000648,61.9376146663169,12.328314503068208
M Phase,83.41958381004319,52.245177402756674,21.59037559708675,61.994150655354595,14.318067022416697
NOTCH1 Intracellular Domain Regulates Transcription,83.07082124736321,27.46689345311435,9.623650458293257,64.93241469028561,9.817610938459643
COPI-dependent Golgi-to-ER retrograde traffic,82.82989207254214,56.880674529025505,21.972960536734128,61.00487164073883,16.009129226936086
Regulation of TLR by endogenous ligand,82.59469701422738,42.96276543796835,18.867218925116173,48.56230615566422,23.050424084357275
Binding of TCF/LEF:CTNNB1 to target gene promoters,82.55901207413889,25.931000946908245,0.3056972786561963,86.18774207553534,1.7283428618574108
Alternative complement activation,82.52794234207927,55.795711451377926,9.436569566660163,54.31643872973745,17.42916592702198
GRB2 events in EGFR signaling,82.35278580778683,34.305796177652184,1.633461477834774,75.72264009203451,5.511104361409356
Transferrin endocytosis and recycling,82.35278580778683,35.92584304814958,10.231299067824953,60.78673738295104,17.066004823038302
Rho GTPase cycle,81.98247012717002,41.47119798009219,4.113400964456029,65.63989234644158,9.597961389532504
Diseases of glycosylation,81.42108121798672,27.39410461749452,1.5940758562366886,80.15239900559449,3.071534512455185
Cell Cycle,81.3993646783191,51.588020492136295,20.196854485916205,60.88037301359343,13.881532708344617
Signaling by GPCR,81.25470099081326,41.8989145590328,7.213510893146385,64.45888757361199,9.85212631140776
Mitotic G1 phase and G1/S transition,81.05221085653793,47.4292920949014,17.5723454161241,63.8753126410499,10.689793582376863
SHC1 events in ERBB2 signaling,80.93222193719302,25.407476421772248,0.6914187500752159,77.59488555322706,3.561249001512728
DNA Replication,80.92730048668683,49.24657459954917,19.94740354457232,60.58895284632877,12.997670956240885
Interleukin-4 and Interleukin-13 signaling,80.75563928268973,34.65916697105187,3.5868687001862622,69.66955183876128,6.760356118535401
Activation of the phototransduction cascade,80.70506052247079,34.68322258783551,6.144586772247522,52.567196189032224,18.462606487974373
HDL remodeling,80.70012344416685,43.56877258184193,10.56963512828133,60.89718937130205,11.618729161202811
SHC1 events in EGFR signaling,80.646505600109,33.86223856616154,1.4649613148750618,74.83125869111961,5.148046445863993
Synthesis of epoxy (EET) and dihydroxyeicosatrienoic acids (DHET),80.4941114713216,49.640787781746894,25.112898506763397,42.95215721257258,25.882912943064767
Peptide ligand-binding receptors,80.44282766571496,46.60698160047324,8.321314877346953,62.59360703551736,10.5321849919784
GPCR downstream signalling,80.34525089208515,41.367432396004055,7.355366741063446,63.22938120627752,10.017479710673749
Cargo trafficking to the periciliary membrane,80.29627746744512,41.92060604418376,5.797002145321447,66.30029231289755,7.906441992291389
Signaling by FGFR2 in disease,80.25641399694537,47.6796079366662,8.861235399945675,71.05989600369628,7.939798661187044
Glutathione conjugation,80.17560986701965,42.85390777570369,16.467272456059046,58.831009935248105,14.632006532607434
SUMO E3 ligases SUMOylate target proteins,79.81170174889286,46.100852809705586,9.86790734317985,68.34241810559345,7.553356920204382
TP53 Regulates Transcription of Death Receptors and Ligands,79.58980546873615,32.35216103575065,2.865542919210817,72.24794329976963,4.843177822688142
Signaling by Erythropoietin,79.17524276888263,38.29944956719424,2.3598876034319645,70.54185679254802,5.329622011539298
Neutrophil degranulation,78.89030092532548,39.36495671293733,6.360931966870965,68.0637354974391,7.036376760303364
Insulin receptor recycling,78.75606561837056,34.077004100775106,10.572660530972538,57.115635830779524,17.230803719494897
Defective CYP21A2 causes Adrenal hyperplasia 3 (AH3),78.34294047921641,52.792142183675416,0.9110536347274645,73.62615684300512,3.9610003737636093
CTLA4 inhibitory signaling,78.29828324309831,38.909495428732846,5.319414185156206,71.35944451066547,5.018463150696425
Separation of Sister Chromatids,78.24914237874897,48.674430114755815,19.221212099882244,60.644846597721845,11.839697957635662
Pyrimidine salvage,78.06793338217453,45.84016364554847,19.655404876963203,57.774078244160805,14.848454218393762
Amplification  of signal from unattached  kinetochores via a MAD2  inhibitory signal,77.97688564112732,49.86902096289677,19.072184987884672,59.696251859378975,13.280141180862596
Amplification of signal from the kinetochores,77.97688564112732,49.86902096289677,19.072184987884672,59.696251859378975,13.280141180862596
