,LumA log adjusted q-value,LumB log adjusted q-value,Her2 log adjusted q-value,Normal log adjusted q-value,Basal log adjusted q-value,claudin-low log adjusted q-value,NC log adjusted q-value
alpha-linolenic (omega3) and linoleic (omega6) acid metabolism,3.9159499765472736,0.3582908682862535,3.9057777715988835,0.6230698932132173,4.021378948763628,0.33132273096352954,0.6335700888084683
G1/S-Specific Transcription,3.905614129145057,1.2427634964099536,0.635581851585902,2.8664547160007343,4.9319457983443495,1.382176648574144,0.4359262466869243
"Activation of NIMA Kinases NEK9, NEK6, NEK7",3.905614129145057,1.9486203325139886,1.538392065548139,3.3642104736089986,3.1422213234556047,2.2566017815792954,0.5344915969118356
Golgi Cisternae Pericentriolar Stack Reorganization,3.7498311591442524,1.9082842009900065,1.38667776874908,3.570426254449462,2.829031426376197,1.8652619058717497,0.38181553532689616
Mitotic G2-G2/M phases,3.7480972303718763,0.6757836629455423,1.2066820414767898,3.0959101093384787,4.473339699580141,0.6530341657620882,0.3339914247453728
Activation of AMPK downstream of NMDARs,3.7480972303718763,0.4788365094295219,1.3399896994866163,0.31406405192142334,4.636801068416388,7.003541432178958,0.7984892306707349
Mitotic Metaphase/Anaphase Transition,3.5981914844948673,0.5001980158333734,1.255054357802433,1.9039349500221747,3.834936011846405,0.5150090682613052,1.0398584122111934
G2/M Transition,3.595601006167445,0.8665372242217627,0.9055004779670123,3.1154504028014065,4.055211731937074,0.38542259097543946,0.30278431678447215
DNA Replication,3.5789245469630786,0.8443494087527166,0.7705735486992861,3.1583258878912503,4.13338095747065,0.32160179828825863,0.3076442190334023
Mitotic G1 phase and G1/S transition,3.5590588657091113,0.8461089331724394,0.35822677752558385,2.981543788880566,4.036164146548333,0.49421655396578473,0.3472655406466345
Phosphorylation of proteins involved in the G2/M transition by Cyclin A:Cdc2 complexes,3.5590588657091113,1.33202224135436,0.42151970659075955,2.881714542504609,3.834936011846405,0.7762058781605561,0.41045368696769297
G2/M DNA replication checkpoint,3.5590588657091113,3.1403756106262635,1.317131202008691,3.3634575293498945,2.2023918780517286,0.9569088671586022,0.33058990139415617
SLC-mediated transmembrane transport,3.5590588657091113,1.3398183743388026,0.5511809945188185,0.3325403897478307,6.13367994199712,13.185458787756856,0.4411318456559932
Purine catabolism,3.541977076389249,0.3128507621405376,1.104664469883523,0.5354780827127651,5.162875594873105,1.6819885154625895,0.3250841857804022
Activation of ATR in response to replication stress,3.541977076389249,0.9056299952939398,0.8588683559397293,2.7939107687812914,5.242885136711248,2.9755729130048962,0.42679913234388106
CDC6 association with the ORC:origin complex,3.496366124135256,0.37212479033932083,2.363767139628344,1.8705652255075031,4.784309342688745,1.775935535172209,1.0412053551645464
Polo-like kinase mediated events,3.496366124135256,1.908354321714834,1.5281469056308077,3.245736791737875,3.5423749483249374,0.6270709786697379,0.6858680859867244
Mitotic Telophase/Cytokinesis,3.4838026347041438,1.474917373322508,0.8533616670676789,3.0479843577327363,4.229021392700434,2.194959953639507,0.6159039724018529
Ubiquinol biosynthesis,3.442820206484984,0.3911487587762643,1.4348475945688228,0.4131183985196884,4.770278946546457,0.6264932706141582,0.4028573074453881
Caspase-mediated cleavage of cytoskeletal proteins,3.442820206484984,0.4704952658544049,1.8246095671622204,0.3437038982314047,3.1985201404031964,7.697967570939673,0.42525840576042084
Cyclin D associated events in G1,3.442820206484984,0.621988453717823,0.758346799833902,0.37791346521058267,8.462153690401177,4.192022790864071,0.3076442190334023
G1 Phase,3.442820206484984,0.6200701529762026,0.7585262334470392,0.37791346521058267,8.462153690401177,4.192022790864071,0.3076442190334023
TP53 Regulates Transcription of Genes Involved in G2 Cell Cycle Arrest,3.4114536628009957,2.2841335969125485,0.3761684992807354,3.2046396790571166,3.3628087087783296,2.5473851053797314,0.3369517449521368
S Phase,3.403468429778144,0.8874820603721416,0.3621802183303316,2.9144964945001504,3.9253684401261877,0.8480177022500618,0.3983192252380045
Unwinding of DNA,3.377488904992407,0.9040451189857747,1.0952882122237046,2.2850087714467104,4.461299742663782,2.2421647486177574,0.5598731902958948
TP53 Regulates Transcription of Genes Involved in G1 Cell Cycle Arrest,3.3484741740390933,1.0392836614911098,0.47249843169274436,2.9082370262018533,4.575229431321227,0.46735822497158036,0.31870443987371155
Activation of the pre-replicative complex,3.337288801955012,1.0090281392437361,1.1124390346368505,2.754291980004521,4.621458483869414,1.7167360116834502,0.6528040775247415
DAG and IP3 signaling,3.276753623068108,0.9062602594897697,0.8923371258670827,0.31392996197835066,4.803976390984987,8.233841255521533,0.3076442190334023
Nucleotide salvage,3.276753623068108,0.3967816616170723,2.0516419170418696,0.6839288737497821,4.689196195730984,0.32489643392848555,0.5915169040850735
Tryptophan catabolism,3.2707187765062526,0.3967816616170723,5.631220133095922,0.4260924814956729,0.8466242248031526,3.256489652319715,0.395884453112211
E2F-enabled inhibition of pre-replication complex formation,3.2707187765062526,1.4713341519431091,1.413070654645737,3.042244885191221,3.60616460440804,0.3128037813636436,1.0412053551645464
Synthesis of DNA,3.2322546587233587,0.9001944453660256,0.4729133325041147,3.0959101093384787,3.3072419365004055,0.9114478749964081,0.3132075258668126
Intraflagellar transport,3.2025477005637693,0.3988171647970603,0.46010204466670207,0.46702199825184637,3.200086184598482,12.127565711584557,0.38181553532689616
Metabolism of folate and pterines,3.142792215768401,0.4850737434907887,2.980644754411898,0.9571828753612523,4.733198179603131,0.9078777004425876,1.5749420215983962
Phosphorylation of the APC/C,3.1353379628447082,3.5161088039033483,0.6046280551228309,3.6245903135120265,1.649414912114756,0.8387762649256295,0.32203905540997435
Basigin interactions,3.123224434675649,0.30508119889783375,1.601152766557623,0.9803955233754909,2.7558437072409454,4.268791215129731,0.30278431678447215
G0 and Early G1,3.094143260972986,1.787629910639333,0.4729133325041147,2.9311893898428987,3.9543375990577023,0.8644159935867464,0.5964552144670754
Transcriptional Regulation by MECP2,3.0914817517766675,1.3497979851565576,1.2755070851257884,0.31525502210273854,7.631291724846484,5.039672982981867,0.376952193340189
APC/C:Cdc20 mediated degradation of Cyclin B,3.087767865193486,3.3013704552989154,0.64280635052735,3.3642104736089986,1.87410714773992,0.5440472668351531,0.7204710101510413
G2/M Checkpoints,3.073709728187058,1.5161237034738917,0.3250517133931485,3.2606856741132546,2.9731952143425047,0.8576272340475625,0.4764334453117179
DNA strand elongation,3.0681309391833165,1.1346340826365409,0.9296716079797426,2.754291980004521,4.473579626777968,0.3939693542192875,0.480852194465206
Amino acid transport across the plasma membrane,3.0336107542242536,0.5934456702094588,0.6431725207550341,0.5025260301491374,4.783117076980082,9.161146249072614,0.3700204790529201
SUMOylation of DNA replication proteins,3.0285188326333894,0.6445692907358854,0.30565151968177706,3.0292065430702007,5.358479840621915,0.8259530504456652,0.42173254029793444
G1/S Transition,3.0175745357671646,0.9914712729302527,0.45401182490024744,2.7807918998056738,3.0601439166612123,0.40888563983475634,0.4196158220716844
Chk1/Chk2(Cds1) mediated inactivation of Cyclin B:Cdk1 complex,3.010109249058991,2.2274976249771457,0.3908678274731924,3.074484675954829,3.3224738619876804,0.37836480665096445,0.38181553532689616
Regulation of TP53 Activity through Phosphorylation,2.9503612302175304,0.4675020182601284,0.5325349616488007,2.3254971989157784,5.409546781029112,1.5831726119373335,0.3250841857804022
Linoleic acid (LA) metabolism,2.9416454554056517,0.3060879909830721,4.024446079034508,0.4263653135509657,2.0487684350368705,0.48823742716421226,0.7112299579020759
"Transport of bile salts and organic acids, metal ions and amine compounds",2.9359119193667866,1.3243836605895827,0.36845612203470557,0.3447637417649204,6.669352260318451,9.48556111130411,0.45588499150931944
Transcription of E2F targets under negative control by p107 (RBL1) and p130 (RBL2) in complex with HDAC1,2.908972416244678,1.556635686297182,0.33770416137930365,3.0470414357893065,4.371957500496845,0.32489643392848555,0.6947552886664741
Oncogene Induced Senescence,2.8935365352220166,0.30734517723224253,1.1532145155696454,1.256816896414569,7.631291724846484,0.7198419899873081,0.6528040775247415
Activation of C3 and C5,2.881785929814041,0.3040711199823073,1.640818869757907,0.3422103115192674,1.3162859907225597,4.704181984946113,1.1019771272378953
G2 Phase,2.878721014058249,0.44227409954858976,0.4596058529701444,2.248978305607729,5.4261534569039895,0.3771603283707819,0.3076442190334023
E2F mediated regulation of DNA replication,2.822392480844948,1.474917373322508,1.2137261008396159,3.074484675954829,3.896214885294841,0.30236797734693444,0.840328650744141
BBSome-mediated cargo-targeting to cilium,2.819537091346274,0.4246279586318637,0.408580751217901,0.4465634594088783,4.464531910745844,0.7129390384410459,0.4612462017676375
SUMO E3 ligases SUMOylate target proteins,2.7773345476378473,0.6410788406347994,0.3659191580379782,2.376300507833419,4.3886400943596255,0.3618793507495834,0.734698458011336
Transport of inorganic cations/anions and amino acids/oligopeptides,2.714712200687646,1.0485791137354075,0.37298008040741326,0.33926954073096355,3.088735424718655,16.946163428626846,0.48092845534659895
Presynaptic phase of homologous DNA pairing and strand exchange,2.6791019531847082,1.548127002516829,0.7240564019578776,3.8759374700592377,4.112818957125037,0.3065216761676287,0.30278431678447215
Purine salvage,2.6757579422925004,0.34832102718005886,1.6632405913404489,0.31530666513839,4.110994905484286,2.1681097194737537,0.46735807236067384
Post NMDA receptor activation events,2.674767130949536,0.33680443321456344,0.3876373484933439,0.30669080019090855,3.760021196258836,6.881031546500166,0.4844085054435382
Glycosphingolipid metabolism,2.6702810177113987,0.7478709676371822,0.32953816106073236,0.31498277433094257,5.58260011156617,9.276021371748453,0.37882626502286243
APC-Cdc20 mediated degradation of Nek2A,2.6629379733558767,3.1403756106262635,0.33173936133753634,3.1583258878912503,1.7465109436505117,0.3192790629485942,0.4685638965081171
Golgi-to-ER retrograde transport,2.6629379733558767,0.33680443321456344,3.083389891199055,1.3282663273875113,3.481784936965752,0.3103616631025397,0.40954542259786164
Activation of NMDA receptors and postsynaptic events,2.627469699553781,0.33490929866620095,0.37044175815133445,0.3133665011422615,3.834936011846405,6.531068162342676,0.5241259722452977
Homologous DNA Pairing and Strand Exchange,2.627469699553781,1.608219252205769,0.5598419159187361,3.828701686438373,4.027615018688577,0.4199902718527072,0.3214871804476803
Nuclear Envelope Breakdown,2.6181725932340876,0.861222434563697,0.36462496992449495,2.7221444553362226,3.935660934200922,0.7129288829623985,0.7807835737028144
Sphingolipid metabolism,2.5976915708348822,1.3269997505123603,0.5607100492888782,0.5249329557053981,5.333484531166893,14.59852334542228,0.3052191518039378
SUMOylation,2.5968866455299993,0.7223072136687092,0.4619019868733905,2.413223593018276,4.0493411424508885,0.451952461895402,0.7584823764983941
Carboxyterminal post-translational modifications of tubulin,2.586010826494469,0.4865631200748303,0.5324872435739907,0.3044654735430023,3.473144979965399,4.857154305340268,0.3959063572230095
Homology Directed Repair,2.581714408728205,2.499589460218248,0.32913286035781397,3.3642104736089986,2.999483399969276,0.8893826824844518,0.480852194465206
DNA Double-Strand Break Repair,2.567744924533883,2.4731510426684333,0.4785612082760674,3.2606856741132546,2.8520659475635513,1.3445962305946473,0.7298752823823502
PLC beta mediated events,2.539452871650726,2.580406791483241,0.4265541204665904,0.3337817693900771,4.135941089744227,16.145926241241206,0.8075526315565017
Netrin-1 signaling,2.5190612129759855,0.3186832326709682,0.5324872435739907,0.3444571072963332,2.258856376032687,5.718099546009276,0.6994770967601132
GAB1 signalosome,2.5171743410653264,1.0652967967935014,1.2066820414767898,0.5629430550443278,3.6574562961525876,5.932780211332837,0.4842698449114401
DNA Replication Pre-Initiation,2.497296712076962,0.4780077744234615,0.3128871435411946,2.596614219749299,2.067688721086126,0.6323823174880978,0.3076442190334023
G-protein mediated events,2.497296712076962,2.677886036687653,0.40907178004050204,0.31706498210885353,4.135941089744227,16.259005150881297,1.2963238624775504
Visual phototransduction,2.49317193683532,0.31211243572932124,2.7602790601242235,0.31134881786221036,2.029152529061347,0.4362474325053171,0.3520555789924897
HDR through Homologous Recombination (HRR),2.4707601616724033,1.6249020261081542,0.7048185160474496,3.570426254449462,3.9150282034513797,0.46411528756697074,0.3548492432744763
SLC transporter disorders,2.462730497053512,0.3128507621405376,0.5853470005787913,1.1407716292848529,4.458046419049631,3.403901503143204,0.9459000973953219
Interaction between PHLDA1 and AURKA,2.43752237476209,0.3968889352052267,0.41535437984570595,0.36652313218106886,2.8179769240989208,0.36142943958066925,0.3430923438252329
Gene and protein expression by JAK-STAT signaling after Interleukin-12 stimulation,2.43752237476209,0.5250584137080414,0.5228663712255649,0.7067866433150016,1.1336150181469191,5.968382242603563,0.31878874177798155
Nucleobase catabolism,2.4364246850102584,0.3033556517187352,0.30108749493616754,0.3022303853451064,1.654733257585719,11.355998986696394,0.3076442190334023
Manipulation of host energy metabolism,2.4107950333400523,0.5110429122928255,3.9057777715988835,0.4378910732026395,3.133831777936786,0.3425730091681411,0.9760069641239598
HDR through Single Strand Annealing (SSA),2.4078672273760735,1.556635686297182,0.9296716079797426,3.7305897724344876,3.7240916233670247,0.5569295026410092,0.3214871804476803
Sialic acid metabolism,2.4078672273760735,0.6971911352598542,1.38667776874908,0.3111365265962123,4.726279957381939,11.564359917344524,0.30278431678447215
Synthesis of substrates in N-glycan biosythesis,2.4031449274065473,1.2346439199954273,0.41956605747469905,0.3650347392099042,4.473339699580141,15.251778798866047,0.37870009250018755
Resolution of Abasic Sites (AP sites),2.363433643705321,1.2722484396007954,0.6712814704125163,2.7221444553362226,3.865442532850658,0.5239846335068705,0.32203905540997435
"Biosynthesis of the N-glycan precursor (dolichol lipid-linked oligosaccharide, LLO) and transfer to a nascent protein",2.347815933487957,1.6341505816288515,0.4956371018180709,0.5467149732186432,4.541968716251646,14.026687010781789,0.6528040775247415
HDR through Homologous Recombination (HRR) or Single Strand Annealing (SSA),2.3426825019623894,2.599273459191195,0.3711541448655597,3.349413102259589,2.6568678949536064,0.6923472113460658,0.5680479298310771
Synthesis of PC,2.3310990043996833,0.7431049667999374,0.3080886209851346,0.3603304629592485,5.842251079468608,6.480483702406292,0.4779338922469034
Phosphate bond hydrolysis by NUDT proteins,2.3310990043996833,0.3810678621512812,1.1109086846845977,0.844717814464998,4.135941089744227,0.36892173272815076,0.3214871804476803
RUNX1 regulates estrogen receptor mediated transcription,2.306041681336795,3.09809796115373,2.3679089526424564,0.31072313980999666,4.3253966152696135,7.310721545701825,0.3076442190334023
Resolution of D-loop Structures through Synthesis-Dependent Strand Annealing (SDSA),2.306041681336795,1.7149381217861321,1.0352006952008685,3.5875245321793443,2.833680502588677,0.5270405848188494,0.3959063572230095
APC/C-mediated degradation of cell cycle proteins,2.2705292645783444,0.6735415710397274,0.42795042952494766,2.4881196063443736,1.3526209514351186,0.41617091690992547,0.308296847623706
Regulation of mitotic cell cycle,2.2705292645783444,0.6725908606488801,0.4280704223268385,2.4881196063443736,1.3526209514351186,0.41768077291399114,0.308296847623706
Lagging Strand Synthesis,2.2700368934034154,1.2809833691874197,0.6245216875320112,2.9651705035653295,3.9150282034513797,0.5141807909324911,0.4258249318277136
Phosphorylation of proteins involved in G1/S transition by active Cyclin E:Cdk2 complexes,2.2700368934034154,1.0638032450035921,0.7016036822638767,2.701288333039153,3.400480649899724,0.3493526078806149,0.3651055559896486
Cytochrome P450 - arranged by substrate type,2.2700290549591835,0.44227409954858976,0.32167451387395163,0.41998464022300086,1.485518762459939,8.198013790600191,0.8916647294173798
Antiviral mechanism by IFN-stimulated genes,2.2663545878424523,0.32630520522342715,0.3447024708471878,2.1476614268419625,3.557786251652081,1.0339180102027716,0.8228463500804807
Metabolism of cofactors,2.2663545878424523,0.6125658117352507,0.7194845249429889,0.5698157867584582,1.0985557471936849,0.3524727793982729,0.7736756863503557
PKA-mediated phosphorylation of CREB,2.2663545878424523,1.6274809485325372,0.30794912235046845,0.3952908691436623,4.9153477393951075,9.56327723205891,0.5462410890123066
Negative regulation of MET activity,2.248267913849102,1.3288922091967077,0.3579547298060995,0.4644568038918121,4.696597709833249,7.448024995847339,0.5163911380158668
Serine biosynthesis,2.237452652650299,1.7935735216480264,1.0139946053811157,0.3650347392099042,6.669352260318451,2.9825774821262825,0.4451689268004882
Fatty acid metabolism,2.237452652650299,2.1267895101999463,0.4425315361405702,0.46702199825184637,4.696597709833249,11.749347713835382,0.7103413173239252
Telomere C-strand (Lagging Strand) Synthesis,2.237452652650299,1.4149636801187944,0.688742865874096,3.007177965274533,3.60616460440804,0.3206775846649617,0.38680001841430434
Regulation of PLK1 Activity at G2/M Transition,2.2287670729615554,0.4788365094295219,2.827872817824763,1.1960800258227906,3.9150282034513797,0.35209336379236933,0.4907634214351237
PCNA-Dependent Long Patch Base Excision Repair,2.224260484040622,1.4388572572093514,0.34908460054916557,2.762047269583368,3.7458007990122444,1.0061864523563817,0.3339914247453728
Beta-oxidation of very long chain fatty acids,2.2138612711210865,0.6771791518304687,0.33173936133753634,0.37441782925699635,4.135941089744227,5.967979241720888,1.203517857190938
Polymerase switching on the C-strand of the telomere,2.197208667303322,0.8180223841458668,0.6060954926216228,2.7221444553362226,4.430382815245971,0.5523118966373595,0.48325700042331887
Leading Strand Synthesis,2.197208667303322,0.8178691883509146,0.6136076215662347,2.7221444553362226,4.430382815245971,0.5523118966373595,0.48325700042331887
Polymerase switching,2.197208667303322,0.8178691883509146,0.6136076215662347,2.7221444553362226,4.430382815245971,0.5534444832156192,0.48325700042331887
Signaling by FGFR2 IIIa TM,2.1950288088952017,0.5565507266078732,0.36462496992449495,2.0846844614916122,3.353383646724578,0.6067499537123859,0.4778612513261687
Resolution of AP sites via the multiple-nucleotide patch replacement pathway,2.183399113823357,1.359821413270241,0.5993996371942283,2.7221444553362226,3.7141002634907547,0.36584207138372793,0.30330725759028837
FGFR2 mutant receptor activation,2.178564533505181,0.5471840327551817,0.3482229600124471,1.9716386045528524,3.1633923896134726,0.37788281188698036,0.4645956926670892
Ca-dependent events,2.165503146322216,2.1815197575248915,0.37915200414346456,0.31841077660680056,4.146198813274833,15.87345286858607,0.4265877214999952
AURKA Activation by TPX2,2.165503146322216,0.4649278207945483,2.5183830688240207,1.3353326746840501,3.7100574125574,0.8546594149974862,0.5295988574732764
Diseases associated with glycosylation precursor biosynthesis,2.1446114210552274,0.698859115893927,0.3568385564651765,0.3572732258885268,4.79250846731345,9.411903628868568,0.3295015145400446
Switching of origins to a post-replicative state,2.1074953271924657,0.38312254813884794,0.5024553363201172,2.1896012628284183,1.5247170439715754,1.351735557899366,0.3312928780909034
Defective NEU1 causes sialidosis,2.103900121126096,0.5471840327551817,0.5911955406700083,0.32392440305853926,4.726279957381939,8.058069994563377,0.3369517449521368
Nuclear Pore Complex (NPC) Disassembly,2.070393381855371,0.8053336674550169,0.5975334297077107,2.762047269583368,3.9780524338193257,0.35743518780193684,0.7248242052229135
Calmodulin induced events,2.063554597082711,2.3588323809305414,0.3808349809545516,0.30669080019090855,3.9859483749569904,16.353598876494367,0.47730385422010285
CaM pathway,2.063554597082711,2.3588323809305414,0.38054791574534547,0.30669080019090855,3.9859483749569904,16.353598876494367,0.47730385422010285
Elevation of cytosolic Ca2+ levels,2.0520169332755405,0.7298336485079014,2.2348269561988747,0.3220926025195848,1.8540127451453032,5.543939312196075,0.6724208560894828
Response of EIF2AK1 (HRI) to heme deficiency,2.0520169332755405,0.30921555957048075,3.075877953197654,0.4011560781970166,2.868132433949508,0.484530311456489,0.6977023123341038
RNA Polymerase III Transcription Termination,2.0520169332755405,0.3896195653855341,0.31156928653365656,0.5141087819343777,5.423037699692214,1.9685093810026952,0.40830433006378386
mRNA Splicing - Minor Pathway,2.0472010516152714,0.42664620157096916,0.31156928653365656,0.8383236428202927,5.6568554071514985,0.6626281690889915,0.33224744631944614
Peroxisomal lipid metabolism,2.044258041116198,0.7771640831272257,0.3012892053440149,0.37414255829074067,4.733198179603131,4.563269035562227,0.6395205159712435
Translesion synthesis by Y family DNA polymerases bypasses lesions on DNA template,2.0416879367726666,1.6839357628617688,0.41734532609333624,2.728775099350339,3.0468231403434487,0.5132620363292312,0.43969509800506257
EGFR interacts with phospholipase C-gamma,2.0394909707027913,0.6168382454016268,0.8940445425152336,0.30669080019090855,4.784309342688745,0.310147510735943,0.352062890279214
Removal of the Flap Intermediate from the C-strand,2.0319946664970017,1.2135544825273883,0.39309597241925864,2.3505454934916337,3.9231272516604596,0.35331015026942436,0.30278431678447215
Pyrimidine salvage,2.002535914257237,0.4249767972057781,1.7298158689115684,1.4109358131464107,2.6838876645355834,0.6850145800738252,1.976298081614947
Signaling by FGFR2 in disease,2.0017798478796016,0.33334886919344947,0.35938923169648856,1.689366143392459,2.968522405682961,0.8732039353480567,0.6804462591871305
Removal of the Flap Intermediate,2.0017798478796016,1.5163013074021197,0.5595124735026917,2.765141295468709,3.1278569910335783,0.4849092764285109,0.48828249121031636
Mismatch repair (MMR) directed by MSH2:MSH3 (MutSbeta),2.0017798478796016,0.3026960685114295,1.107463722206181,1.1366561792774759,4.168076004889592,0.9569088671586022,1.0485043897348687
Resolution of D-loop Structures through Holliday Junction Intermediates,1.9985454902178776,1.8888641991591488,1.1337949365815911,3.570426254449462,2.2252454154210004,1.074513319688264,0.6395205159712435
Resolution of D-Loop Structures,1.9985454902178776,1.892585385011861,1.1384206418864513,3.570426254449462,2.2090416933621975,1.0913868288492612,0.6594925939839266
PTK6 Regulates Cell Cycle,1.9908203419008919,0.48780306833165493,0.34859250582289314,0.5249329557053981,5.299233291420402,0.5482058020840839,0.5536163054474208
Endogenous sterols,1.9772236552661606,0.37629990676095454,0.38293594449354956,0.6565246179467595,1.1834207679854536,5.681540265338909,1.0398584122111934
Termination of translesion DNA synthesis,1.9588515811933065,1.645291063554907,0.41956605747469905,2.7109027970307005,3.138472471131598,1.0339180102027716,0.3638217144164597
NOSTRIN mediated eNOS trafficking,1.9479430360103354,0.33832512665576203,3.0787603432711084,0.3612650528179414,1.2993710157572476,1.505003325465559,0.3043698964606742
CLEC7A (Dectin-1) induces NFAT activation,1.934795593103512,0.35647002589378085,3.546556478441417,0.46702199825184637,3.896214885294841,0.6837532459927336,1.1613749428405187
Extension of Telomeres,1.926055241169156,1.7819400448321585,0.30285818257052505,3.007177965274533,3.5623839859775925,1.1085300138842988,0.3076442190334023
Metabolism of steroid hormones,1.9176450972591452,0.37212479033932083,0.303560678055002,0.6124884609561388,0.9310634176997629,7.466742210621737,0.9459000973953219
Growth hormone receptor signaling,1.9144436533546696,1.4117033129971952,0.30607378979883937,0.31413695775263856,2.172023549011187,17.0784296915175,0.3651055559896486
TFAP2 (AP-2) family regulates transcription of growth factors and their receptors,1.897416817308992,2.0756635340384895,0.484571871316215,0.34931170711226744,6.893255245063253,2.6012189158874537,0.43932073123719284
Microtubule-dependent trafficking of connexons from Golgi to the plasma membrane,1.8761863557466134,0.36635055077698886,0.35938923169648856,0.3426994412426129,2.2023918780517286,0.9555230147521301,0.8966557528866369
Depolymerisation of the Nuclear Lamina,1.8745431097371739,3.379892228770036,1.615767032921066,3.1583258878912503,0.6617310679414647,0.8107828846128606,0.5821440480082269
ABC transporters in lipid homeostasis,1.870216050631139,2.348129991681356,2.4182670777947766,0.4440308694364037,2.417600192085448,7.572857132789556,0.8040395211129735
G2/M DNA damage checkpoint,1.85587278450681,2.877529328454117,0.5853470005787913,3.0292065430702007,1.7458232308608481,0.566468148901934,0.7515331078018165
Signaling by FGFR in disease,1.8475469150605288,0.4850737434907887,0.6269713915175532,1.9301964102363356,2.109096399644721,1.0874581037995077,0.9123292069150355
DCC mediated attractive signaling,1.8444332994903962,0.4704952658544049,0.4324763355233698,0.32742359234816426,1.1313894340171797,7.086857345462767,0.734698458011336
Organic cation transport,1.8386054728679553,1.608219252205769,0.46010204466670207,0.39014799441392545,3.4935633016989733,7.661464402163596,0.5030608859113487
Processive synthesis on the lagging strand,1.7954818415407463,1.2937793685933063,0.8976774770765256,2.371574091669356,2.6801044761688124,1.068905712466771,1.0160871335774175
Metabolism of vitamins and cofactors,1.7948523163808905,1.462901731367718,0.46010204466670207,0.377745787673025,1.1070664508281869,19.953984011186503,0.3076442190334023
Processive synthesis on the C-strand of the telomere,1.7791460768744054,1.0230929066990755,0.8899990477394203,1.87222489852837,3.11518474573323,0.7862873336218537,0.7584823764983941
